# step, gen_loss, dis_loss, train_acc
100,  8.166772E-01,  1.185894E+00,  4.8438E-01
200,  7.803280E-01,  1.233397E+00,  7.1875E-01
300,  7.602959E-01,  1.250015E+00,  7.6562E-01
400,  7.830882E-01,  1.262983E+00,  7.8125E-01
500,  7.705951E-01,  1.263364E+00,  7.8125E-01
600,  7.381451E-01,  1.301855E+00,  8.2812E-01
700,  7.594845E-01,  1.320396E+00,  8.5938E-01
800,  7.343690E-01,  1.306717E+00,  8.1250E-01
900,  7.295544E-01,  1.321527E+00,  7.8125E-01
1000,  7.201174E-01,  1.335918E+00,  8.5938E-01
1100,  7.170932E-01,  1.344337E+00,  9.0625E-01
1200,  7.513788E-01,  1.328970E+00,  7.9688E-01
1300,  7.140669E-01,  1.344592E+00,  8.2812E-01
1400,  7.195312E-01,  1.356461E+00,  9.2188E-01
1500,  7.292683E-01,  1.350528E+00,  9.0625E-01
1600,  7.047058E-01,  1.353566E+00,  8.5938E-01
1700,  7.232028E-01,  1.348105E+00,  8.9062E-01
1800,  6.926666E-01,  1.364508E+00,  8.9062E-01
1900,  7.173012E-01,  1.361025E+00,  9.0625E-01
2000,  7.179593E-01,  1.373692E+00,  9.0625E-01
2100,  7.326607E-01,  1.379338E+00,  9.3750E-01
2200,  7.132820E-01,  1.356927E+00,  8.4375E-01
2300,  7.152388E-01,  1.351079E+00,  8.9062E-01
2400,  6.813824E-01,  1.375366E+00,  9.2188E-01
2500,  7.076318E-01,  1.367505E+00,  8.4375E-01
2600,  7.244196E-01,  1.367115E+00,  9.5312E-01
2700,  7.467953E-01,  1.358287E+00,  8.9062E-01
2800,  6.989086E-01,  1.366930E+00,  9.2188E-01
2900,  7.304176E-01,  1.358055E+00,  8.5938E-01
3000,  7.085092E-01,  1.357977E+00,  8.9062E-01
3100,  7.169170E-01,  1.372014E+00,  8.9062E-01
3200,  7.104120E-01,  1.371064E+00,  9.2188E-01
3300,  6.888765E-01,  1.370359E+00,  9.5312E-01
3400,  7.060641E-01,  1.361940E+00,  8.9062E-01
3500,  7.226059E-01,  1.360533E+00,  8.4375E-01
3600,  6.918014E-01,  1.366099E+00,  9.0625E-01
3700,  7.151049E-01,  1.359346E+00,  9.0625E-01
3800,  7.125623E-01,  1.365476E+00,  9.2188E-01
3900,  7.159192E-01,  1.372113E+00,  9.0625E-01
4000,  7.168035E-01,  1.375606E+00,  9.6875E-01
4100,  7.395432E-01,  1.351111E+00,  8.7500E-01
4200,  7.013100E-01,  1.376319E+00,  9.5312E-01
4300,  7.273517E-01,  1.359436E+00,  8.2812E-01
4400,  7.162512E-01,  1.368755E+00,  8.9062E-01
4500,  7.143010E-01,  1.368600E+00,  8.9062E-01
4600,  6.771492E-01,  1.377853E+00,  9.2188E-01
4700,  6.828281E-01,  1.375781E+00,  9.2188E-01
4800,  7.077816E-01,  1.369955E+00,  9.2188E-01
4900,  7.204213E-01,  1.355636E+00,  8.7500E-01
5000,  7.208507E-01,  1.365246E+00,  9.2188E-01
5100,  7.178758E-01,  1.359763E+00,  9.0625E-01
5200,  7.137799E-01,  1.364538E+00,  9.2188E-01
5300,  7.130554E-01,  1.369872E+00,  9.3750E-01
5400,  7.162606E-01,  1.363368E+00,  9.0625E-01
5500,  6.994507E-01,  1.364672E+00,  9.2188E-01
5600,  7.020338E-01,  1.375003E+00,  9.2188E-01
5700,  7.333537E-01,  1.356268E+00,  8.9062E-01
5800,  7.050236E-01,  1.372494E+00,  8.7500E-01
5900,  7.170032E-01,  1.358619E+00,  8.5938E-01
6000,  7.180793E-01,  1.368110E+00,  8.9062E-01
6100,  6.891850E-01,  1.379028E+00,  9.5312E-01
6200,  7.099247E-01,  1.359108E+00,  9.0625E-01
