# step, gen_loss, dis_loss, train_acc
100,  7.900605E-01,  1.237066E+00,  7.8125E-01
200,  7.853389E-01,  1.239208E+00,  8.4375E-01
300,  7.578043E-01,  1.274154E+00,  8.4375E-01
400,  7.817838E-01,  1.270279E+00,  8.2812E-01
500,  7.606068E-01,  1.277825E+00,  7.9688E-01
600,  7.242190E-01,  1.324704E+00,  8.9062E-01
700,  7.517763E-01,  1.327782E+00,  9.0625E-01
800,  7.525927E-01,  1.301210E+00,  8.5938E-01
900,  7.532184E-01,  1.316185E+00,  8.9062E-01
1000,  7.452568E-01,  1.317648E+00,  8.2812E-01
1100,  7.385469E-01,  1.329304E+00,  8.9062E-01
1200,  7.463487E-01,  1.343157E+00,  9.3750E-01
1300,  7.367116E-01,  1.343332E+00,  9.2188E-01
1400,  7.257018E-01,  1.345622E+00,  8.7500E-01
1500,  7.102256E-01,  1.361802E+00,  9.0625E-01
1600,  7.240239E-01,  1.370879E+00,  9.5312E-01
1700,  7.291912E-01,  1.354691E+00,  8.9062E-01
1800,  7.122051E-01,  1.348536E+00,  9.2188E-01
1900,  7.080754E-01,  1.357392E+00,  8.9062E-01
2000,  7.014353E-01,  1.353282E+00,  8.7500E-01
2100,  7.089878E-01,  1.354212E+00,  8.7500E-01
2200,  6.984696E-01,  1.351173E+00,  8.9062E-01
2300,  7.346729E-01,  1.357901E+00,  8.7500E-01
2400,  7.096877E-01,  1.354322E+00,  8.4375E-01
2500,  7.107462E-01,  1.342202E+00,  8.5938E-01
2600,  7.009631E-01,  1.358046E+00,  8.9062E-01
2700,  7.061409E-01,  1.368450E+00,  9.2188E-01
2800,  7.017962E-01,  1.370444E+00,  8.9062E-01
2900,  7.152945E-01,  1.354298E+00,  9.0625E-01
3000,  7.020514E-01,  1.370288E+00,  9.3750E-01
3100,  7.123132E-01,  1.358647E+00,  8.9062E-01
3200,  7.382266E-01,  1.362113E+00,  9.2188E-01
3300,  7.161543E-01,  1.358019E+00,  8.7500E-01
3400,  6.958207E-01,  1.380512E+00,  9.5312E-01
3500,  7.149662E-01,  1.368796E+00,  9.0625E-01
3600,  6.932462E-01,  1.369709E+00,  9.0625E-01
3700,  7.166722E-01,  1.362380E+00,  8.9062E-01
3800,  6.968271E-01,  1.369174E+00,  9.2188E-01
3900,  7.051311E-01,  1.369442E+00,  9.2188E-01
4000,  7.088878E-01,  1.362943E+00,  9.2188E-01
4100,  7.060472E-01,  1.359066E+00,  8.7500E-01
4200,  7.039921E-01,  1.362360E+00,  8.9062E-01
4300,  7.164554E-01,  1.369938E+00,  9.0625E-01
4400,  7.088028E-01,  1.365810E+00,  9.2188E-01
4500,  7.193258E-01,  1.375589E+00,  9.5312E-01
4600,  7.367003E-01,  1.368710E+00,  8.7500E-01
4700,  7.169567E-01,  1.362096E+00,  8.7500E-01
4800,  7.072324E-01,  1.375583E+00,  9.3750E-01
4900,  6.748742E-01,  1.380723E+00,  9.8438E-01
5000,  6.994030E-01,  1.374745E+00,  9.3750E-01
5100,  7.213641E-01,  1.370341E+00,  8.9062E-01
5200,  6.998168E-01,  1.380494E+00,  9.6875E-01
5300,  7.165328E-01,  1.369822E+00,  8.9062E-01
5400,  7.122113E-01,  1.366143E+00,  9.2188E-01
5500,  7.025611E-01,  1.374239E+00,  9.5312E-01
5600,  7.116078E-01,  1.361031E+00,  8.9062E-01
5700,  6.977962E-01,  1.368488E+00,  8.9062E-01
5800,  6.880514E-01,  1.369939E+00,  9.5312E-01
5900,  7.204491E-01,  1.372658E+00,  9.2188E-01
6000,  7.087976E-01,  1.370635E+00,  9.2188E-01
6100,  6.859307E-01,  1.384630E+00,  9.2188E-01
6200,  7.219498E-01,  1.363739E+00,  9.3750E-01
6300,  6.915454E-01,  1.370674E+00,  9.3750E-01
6400,  6.952684E-01,  1.365013E+00,  8.5938E-01
6500,  7.085425E-01,  1.371014E+00,  9.0625E-01
6600,  7.004695E-01,  1.372925E+00,  9.2188E-01
6700,  7.075413E-01,  1.365210E+00,  9.3750E-01
6800,  6.806815E-01,  1.368490E+00,  9.5312E-01
6900,  6.994879E-01,  1.373486E+00,  9.2188E-01
7000,  6.987402E-01,  1.373081E+00,  9.6875E-01
7100,  7.030843E-01,  1.373524E+00,  9.2188E-01
7200,  7.092183E-01,  1.371574E+00,  9.2188E-01
7300,  6.709291E-01,  1.372447E+00,  9.3750E-01
7400,  7.100533E-01,  1.369351E+00,  9.0625E-01
7500,  7.092285E-01,  1.374740E+00,  9.0625E-01
7600,  6.938567E-01,  1.373956E+00,  9.2188E-01
7700,  7.050893E-01,  1.379187E+00,  9.3750E-01
7800,  7.036166E-01,  1.379718E+00,  9.5312E-01
7900,  7.229203E-01,  1.366590E+00,  8.9062E-01
8000,  6.870394E-01,  1.381533E+00,  9.6875E-01
8100,  7.026349E-01,  1.377719E+00,  9.5312E-01
8200,  6.888531E-01,  1.380049E+00,  9.5312E-01
8300,  7.028427E-01,  1.378040E+00,  9.5312E-01
8400,  7.036236E-01,  1.366381E+00,  9.0625E-01
8500,  6.948268E-01,  1.371850E+00,  9.2188E-01
8600,  6.814147E-01,  1.387444E+00,  9.8438E-01
8700,  7.087554E-01,  1.360858E+00,  9.0625E-01
8800,  7.099950E-01,  1.370906E+00,  9.3750E-01
8900,  6.856599E-01,  1.376261E+00,  9.6875E-01
9000,  6.956155E-01,  1.383245E+00,  9.6875E-01
9100,  6.982448E-01,  1.365140E+00,  8.9062E-01
9200,  7.098325E-01,  1.355468E+00,  8.9062E-01
9300,  7.103704E-01,  1.378001E+00,  9.3750E-01
9400,  7.110047E-01,  1.362354E+00,  8.5938E-01
9500,  6.894888E-01,  1.379989E+00,  9.6875E-01
9600,  6.961464E-01,  1.374131E+00,  9.3750E-01
9700,  7.250938E-01,  1.370331E+00,  8.9062E-01
9800,  7.442645E-01,  1.338974E+00,  8.1250E-01
9900,  7.196643E-01,  1.368763E+00,  9.0625E-01
10000,  6.834199E-01,  1.375651E+00,  9.5312E-01
10100,  7.129495E-01,  1.365471E+00,  9.2188E-01
10200,  6.911583E-01,  1.370364E+00,  9.3750E-01
10300,  7.156338E-01,  1.374549E+00,  9.0625E-01
10400,  7.036016E-01,  1.380211E+00,  9.5312E-01
10500,  7.083466E-01,  1.370020E+00,  9.0625E-01
10600,  7.144442E-01,  1.380216E+00,  9.5312E-01
10700,  7.130660E-01,  1.369640E+00,  9.0625E-01
10800,  6.902139E-01,  1.366091E+00,  9.2188E-01
10900,  7.061017E-01,  1.372098E+00,  9.0625E-01
11000,  6.932451E-01,  1.366057E+00,  9.0625E-01
11100,  6.914783E-01,  1.385275E+00,  9.8438E-01
11200,  7.065490E-01,  1.368262E+00,  9.3750E-01
11300,  6.927876E-01,  1.374826E+00,  9.0625E-01
11400,  7.267120E-01,  1.355534E+00,  8.5938E-01
11500,  6.918225E-01,  1.369203E+00,  9.0625E-01
11600,  6.823773E-01,  1.379278E+00,  9.3750E-01
11700,  7.148275E-01,  1.353151E+00,  8.5938E-01
11800,  6.830143E-01,  1.368618E+00,  8.9062E-01
11900,  6.750986E-01,  1.380454E+00,  9.6875E-01
12000,  7.339441E-01,  1.357758E+00,  8.2812E-01
12100,  6.808870E-01,  1.382701E+00,  9.3750E-01
12200,  6.936281E-01,  1.367716E+00,  9.2188E-01
12300,  6.895427E-01,  1.379352E+00,  9.5312E-01
12400,  7.025591E-01,  1.365754E+00,  8.7500E-01
12500,  7.178189E-01,  1.367557E+00,  9.0625E-01
12600,  7.076757E-01,  1.355870E+00,  8.7500E-01
12700,  6.912630E-01,  1.370276E+00,  8.9062E-01
12800,  7.237523E-01,  1.373219E+00,  9.2188E-01
12900,  7.027467E-01,  1.373367E+00,  9.3750E-01
13000,  6.919016E-01,  1.370373E+00,  9.2188E-01
13100,  7.255570E-01,  1.380912E+00,  9.5312E-01
13200,  6.987334E-01,  1.378094E+00,  9.5312E-01
13300,  7.019391E-01,  1.368206E+00,  9.2188E-01
13400,  6.949681E-01,  1.372075E+00,  9.2188E-01
13500,  7.003808E-01,  1.378421E+00,  9.6875E-01
13600,  7.140837E-01,  1.369612E+00,  9.0625E-01
13700,  7.092236E-01,  1.370182E+00,  9.0625E-01
13800,  7.103615E-01,  1.362252E+00,  9.2188E-01
13900,  7.109225E-01,  1.370576E+00,  9.3750E-01
14000,  7.069769E-01,  1.369237E+00,  9.2188E-01
14100,  7.048975E-01,  1.367181E+00,  9.3750E-01
14200,  7.049159E-01,  1.380634E+00,  9.5312E-01
14300,  6.881487E-01,  1.372555E+00,  9.5312E-01
14400,  7.011080E-01,  1.374589E+00,  9.3750E-01
14500,  6.941392E-01,  1.376306E+00,  9.3750E-01
14600,  7.077820E-01,  1.373302E+00,  9.5312E-01
14700,  7.142668E-01,  1.366804E+00,  8.7500E-01
14800,  7.175760E-01,  1.379127E+00,  9.3750E-01
14900,  7.056133E-01,  1.375953E+00,  9.5312E-01
15000,  7.121271E-01,  1.376087E+00,  9.5312E-01
15100,  6.689848E-01,  1.379195E+00,  9.3750E-01
15200,  6.969918E-01,  1.379816E+00,  9.6875E-01
15300,  6.877001E-01,  1.381582E+00,  9.8438E-01
15400,  7.084337E-01,  1.379202E+00,  9.5312E-01
15500,  7.018704E-01,  1.375343E+00,  9.5312E-01
15600,  6.998351E-01,  1.381842E+00,  9.3750E-01
15700,  7.060575E-01,  1.372307E+00,  9.5312E-01
15800,  6.957291E-01,  1.377662E+00,  9.3750E-01
15900,  7.018886E-01,  1.375700E+00,  9.6875E-01
16000,  6.931361E-01,  1.371381E+00,  9.5312E-01
16100,  7.090752E-01,  1.368124E+00,  9.2188E-01
16200,  7.054400E-01,  1.374134E+00,  9.2188E-01
16300,  7.051562E-01,  1.354156E+00,  8.4375E-01
16400,  7.251154E-01,  1.351961E+00,  8.5938E-01
16500,  7.050011E-01,  1.379848E+00,  9.8438E-01
16600,  6.837443E-01,  1.375592E+00,  9.5312E-01
16700,  7.068944E-01,  1.369999E+00,  9.6875E-01
16800,  7.161962E-01,  1.373956E+00,  9.2188E-01
16900,  7.278616E-01,  1.361084E+00,  8.9062E-01
17000,  7.110785E-01,  1.360137E+00,  8.5938E-01
17100,  7.194549E-01,  1.378106E+00,  9.2188E-01
17200,  7.002271E-01,  1.376592E+00,  9.5312E-01
17300,  6.999119E-01,  1.373219E+00,  9.2188E-01
17400,  6.869257E-01,  1.371463E+00,  9.2188E-01
17500,  6.964972E-01,  1.370653E+00,  8.9062E-01
17600,  7.329491E-01,  1.356138E+00,  8.7500E-01
17700,  6.913321E-01,  1.384780E+00,  9.5312E-01
17800,  7.086768E-01,  1.378030E+00,  9.5312E-01
17900,  7.287468E-01,  1.368529E+00,  8.9062E-01
18000,  6.994017E-01,  1.373184E+00,  9.3750E-01
18100,  7.113482E-01,  1.368918E+00,  9.5312E-01
18200,  7.021495E-01,  1.385810E+00,  9.5312E-01
18300,  7.173128E-01,  1.353342E+00,  8.7500E-01
18400,  7.007967E-01,  1.377033E+00,  9.5312E-01
18500,  6.920320E-01,  1.373894E+00,  9.8438E-01
18600,  6.870357E-01,  1.369791E+00,  9.3750E-01
18700,  7.063375E-01,  1.374038E+00,  9.3750E-01
18800,  6.973777E-01,  1.379276E+00,  9.6875E-01
18900,  7.137259E-01,  1.379650E+00,  9.6875E-01
19000,  6.885012E-01,  1.378891E+00,  9.5312E-01
19100,  6.935582E-01,  1.382427E+00,  9.5312E-01
19200,  7.076252E-01,  1.369002E+00,  9.2188E-01
19300,  6.891019E-01,  1.381213E+00,  9.5312E-01
19400,  7.083505E-01,  1.374192E+00,  9.3750E-01
19500,  6.937529E-01,  1.381042E+00,  9.5312E-01
