# step, gen_loss, dis_loss, train_acc
100,  6.456697E-03, -8.722116E-03,  1.0938E-01
200,  4.880374E-03, -1.497316E-02,  6.2500E-02
300,  2.805228E-03, -1.008026E-02,  1.5625E-02
400,  6.868421E-03, -6.945729E-03,  1.2500E-01
500,  4.841103E-03, -1.078882E-02,  9.3750E-02
600,  6.640770E-03, -7.831639E-03,  1.5625E-01
700,  3.837881E-03, -3.331633E-03,  7.8125E-02
800,  2.574897E-03, -6.496084E-03,  9.3750E-02
900,  4.587871E-03, -5.307716E-03,  1.2500E-01
1000,  4.861602E-03, -3.907096E-03,  1.5625E-01
1100,  5.682873E-03, -5.357007E-03,  1.5625E-01
1200,  5.480927E-03, -2.946888E-03,  9.3750E-02
1300,  4.740749E-03, -2.997973E-03,  1.2500E-01
1400,  5.488939E-03, -3.835468E-03,  1.4062E-01
1500,  6.421716E-03, -4.065186E-03,  1.2500E-01
1600,  6.774657E-03, -2.811168E-03,  7.8125E-02
1700,  6.607108E-03, -3.552513E-03,  1.4062E-01
1800,  5.179129E-03, -2.054347E-03,  1.5625E-01
1900,  7.027252E-03, -3.013557E-03,  1.0938E-01
2000,  7.892516E-03, -2.491185E-03,  1.7188E-01
2100,  4.395543E-03, -3.830925E-03,  1.4062E-01
2200,  7.834869E-03, -3.355218E-03,  1.2500E-01
2300,  1.992669E-03, -6.057965E-03,  9.3750E-02
2400,  6.489957E-03, -1.595246E-03,  9.3750E-02
2500,  5.998157E-03, -2.157045E-03,  1.8750E-01
2600,  6.614346E-03, -1.513686E-03,  2.9688E-01
2700,  7.943383E-04,  7.008573E-04,  2.8125E-01
2800,  4.416985E-03, -4.857641E-03,  1.8750E-01
2900,  2.533345E-03, -4.857243E-03,  1.2500E-01
3000,  2.790288E-03, -7.341187E-04,  1.8750E-01
3100,  1.723070E-03, -1.840636E-03,  2.9688E-01
3200,  5.163283E-03, -1.961880E-03,  3.1250E-01
3300,  6.542872E-03, -1.622706E-03,  1.7188E-01
3400,  7.665654E-03, -2.935651E-03,  2.1875E-01
3500,  1.027710E-03, -3.541590E-04,  1.4062E-01
3600,  7.096612E-03, -1.698967E-03,  2.0312E-01
3700,  1.767247E-03, -9.759364E-04,  2.5000E-01
3800,  5.920263E-03, -2.150899E-03,  2.5000E-01
3900,  4.422257E-03, -2.657988E-03,  2.3438E-01
4000,  3.172623E-03, -6.836208E-04,  2.8125E-01
4100,  5.314108E-03, -1.499520E-03,  3.5938E-01
4200,  3.840532E-03, -3.949355E-04,  2.8125E-01
4300,  1.533382E-03, -1.271882E-03,  2.3438E-01
4400,  3.961165E-03,  2.057226E-04,  2.0312E-01
4500,  4.886528E-03, -2.740143E-03,  1.5625E-01
4600,  3.556704E-03,  2.812424E-04,  1.5625E-01
4700,  8.131461E-03, -1.145927E-03,  2.5000E-01
4800,  2.808674E-03, -9.339963E-04,  1.7188E-01
4900,  3.567793E-03, -3.109565E-04,  2.5000E-01
5000,  5.112293E-03, -2.297918E-03,  2.9688E-01
5100,  8.084527E-03, -9.670556E-04,  3.5938E-01
5200,  5.877781E-03, -6.189705E-04,  3.1250E-01
5300,  3.186127E-03, -2.086489E-05,  2.8125E-01
5400,  2.555686E-03, -1.595310E-03,  3.7500E-01
5500,  2.455690E-03, -1.269669E-03,  2.3438E-01
5600,  4.040715E-03, -9.325841E-04,  3.1250E-01
5700,  4.617695E-03, -8.973936E-04,  2.1875E-01
5800,  5.301307E-03, -2.479796E-03,  1.7188E-01
5900,  3.017978E-03, -2.764026E-03,  2.0312E-01
6000,  3.747408E-03, -1.222315E-03,  1.0938E-01
6100,  6.084751E-03, -2.940173E-03,  1.2500E-01
6200,  5.358868E-03, -1.788312E-03,  3.1250E-01
6300,  5.594204E-03, -2.263446E-03,  2.3438E-01
6400,  5.968072E-03, -2.399620E-03,  3.7500E-01
6500,  3.501760E-03, -2.091852E-03,  1.5625E-01
6600,  4.381108E-03, -1.681987E-03,  3.2812E-01
6700,  2.863581E-03, -5.032239E-04,  3.4375E-01
6800,  5.560189E-03, -3.267142E-03,  2.0312E-01
6900,  6.045793E-03, -9.942790E-04,  2.6562E-01
7000,  4.561075E-03, -9.158067E-05,  3.2812E-01
7100, -1.779252E-03, -1.184898E-04,  2.6562E-01
7200,  6.271861E-03,  6.939331E-05,  2.6562E-01
7300,  2.740581E-03, -1.982801E-03,  3.1250E-01
7400,  4.406353E-03, -2.041129E-03,  2.1875E-01
7500,  3.226065E-03, -1.737868E-03,  2.8125E-01
7600,  3.202097E-03, -2.659448E-03,  3.1250E-01
7700,  5.683278E-03, -3.229761E-04,  1.5625E-01
7800,  3.839936E-03, -2.715755E-03,  2.0312E-01
7900,  7.163922E-03, -1.839739E-04,  1.8750E-01
8000,  6.951008E-03, -1.295569E-03,  2.5000E-01
8100,  2.710775E-03, -4.393340E-04,  1.4062E-01
8200,  6.046174E-03,  2.088598E-04,  2.9688E-01
8300,  5.447627E-03,  4.023812E-04,  2.6562E-01
8400,  5.238790E-03, -6.300774E-04,  3.4375E-01
8500,  6.305518E-03, -7.165624E-04,  2.1875E-01
8600,  6.244094E-03, -3.065804E-03,  3.1250E-01
8700,  7.463192E-03, -1.847448E-03,  2.3438E-01
8800,  3.961978E-03, -1.280979E-03,  2.9688E-01
8900,  1.587186E-03, -1.144885E-03,  2.0312E-01
9000,  3.774674E-03,  7.491615E-04,  2.0312E-01
9100,  5.111109E-03, -6.653368E-05,  1.0938E-01
9200,  5.952377E-03, -1.291320E-03,  3.1250E-01
9300,  6.224301E-03, -8.812733E-04,  2.9688E-01
9400,  5.868280E-03, -4.096036E-04,  2.3438E-01
9500,  4.874517E-03,  1.447182E-04,  2.8125E-01
9600,  6.424131E-03,  1.637326E-04,  2.1875E-01
9700,  5.778331E-03, -1.935431E-03,  1.7188E-01
9800,  6.280995E-03, -1.532870E-03,  3.1250E-01
9900,  6.593178E-03,  7.713893E-04,  2.9688E-01
10000,  6.535490E-03, -1.400209E-03,  2.1875E-01
10100,  7.522276E-03, -2.030727E-03,  2.1875E-01
10200,  7.227493E-03, -2.367110E-04,  2.5000E-01
10300,  7.641275E-03, -3.704072E-03,  2.3438E-01
10400,  5.864530E-03, -3.045115E-03,  3.1250E-01
10500,  6.301191E-03, -1.447662E-03,  3.1250E-01
10600,  5.321434E-03, -1.652520E-04,  1.8750E-01
10700,  4.521166E-03, -1.007756E-03,  2.0312E-01
10800,  5.809514E-03,  1.213886E-04,  2.3438E-01
10900,  7.963294E-03, -1.562817E-03,  1.0938E-01
11000,  1.605513E-03, -8.313701E-04,  1.7188E-01
11100,  4.268835E-03, -1.193127E-04,  2.6562E-01
11200,  6.384665E-03,  4.174076E-04,  3.1250E-01
11300,  7.176613E-03, -7.422180E-04,  2.1875E-01
11400,  8.008321E-03, -1.217111E-03,  2.1875E-01
11500,  5.750843E-03,  9.232340E-05,  1.2500E-01
11600,  7.732446E-03, -1.223098E-03,  2.0312E-01
11700,  6.254719E-03, -1.324047E-03,  2.8125E-01
11800,  5.549588E-03, -5.513038E-04,  1.7188E-01
11900,  5.353459E-03, -1.160485E-03,  2.1875E-01
12000,  7.182569E-03, -1.568724E-04,  2.5000E-01
12100,  5.212387E-03, -1.597806E-03,  2.6562E-01
12200,  2.970238E-03, -7.330335E-04,  2.5000E-01
12300,  6.468472E-03, -1.126229E-03,  1.8750E-01
12400,  6.199594E-03, -7.404601E-04,  2.5000E-01
12500,  7.784742E-03, -1.552412E-03,  3.4375E-01
12600,  6.412180E-03, -1.819874E-03,  2.5000E-01
12700,  8.054664E-03, -9.994023E-06,  2.5000E-01
12800,  5.668510E-03, -2.847621E-04,  1.8750E-01
12900,  7.627378E-03, -4.224824E-04,  2.0312E-01
13000,  6.190133E-03, -1.012275E-03,  3.1250E-01
