# step, gen_loss, dis_loss, train_acc
100, -1.232317E+00, -1.290095E+00,  4.6875E-01
200, -5.392699E-01, -9.187586E-01,  5.9375E-01
300, -1.305743E+00, -8.778675E-01,  5.3125E-01
400, -3.273011E-01, -9.281208E-01,  6.8750E-01
500, -5.776024E-01, -4.328069E-01,  7.0312E-01
600, -3.144007E-01, -4.772512E-01,  6.4062E-01
700, -5.730735E-02, -3.358421E-01,  7.3438E-01
800,  4.863400E-01, -2.334214E-01,  7.1875E-01
900,  6.197882E-01, -2.735377E-01,  7.1875E-01
1000,  8.409004E-01, -2.568595E-01,  7.0312E-01
1100,  7.854467E-01, -2.630111E-01,  7.0312E-01
1200,  7.957613E-01, -1.785541E-01,  8.1250E-01
1300,  7.753729E-01, -2.679680E-01,  6.8750E-01
1400,  5.887851E-01, -2.198171E-01,  7.8125E-01
1500,  6.198096E-01, -1.954730E-01,  7.9688E-01
1600,  6.844066E-01, -2.322885E-01,  8.5938E-01
1700,  7.041605E-01, -1.736728E-01,  8.7500E-01
1800,  6.536373E-01, -1.613881E-01,  7.1875E-01
1900,  6.839827E-01, -2.306232E-01,  8.2812E-01
2000,  5.400935E-01, -2.019021E-01,  7.8125E-01
2100,  4.044601E-01, -1.721327E-01,  8.9062E-01
2200,  4.887274E-01, -2.265449E-01,  8.5938E-01
2300,  4.971532E-01, -2.343474E-01,  8.2812E-01
2400,  6.832454E-01, -2.430712E-01,  8.1250E-01
2500,  4.394379E-01, -2.170916E-01,  8.4375E-01
2600,  5.346619E-01, -2.108032E-01,  8.1250E-01
2700,  4.481164E-01, -2.495486E-01,  8.1250E-01
2800,  6.421046E-01, -2.574053E-01,  7.3438E-01
2900,  6.965107E-01, -2.246048E-01,  7.8125E-01
3000,  5.012643E-01, -2.269824E-01,  7.6562E-01
3100,  4.999723E-01, -2.050114E-01,  8.5938E-01
3200,  7.053416E-01, -2.323036E-01,  8.1250E-01
3300,  4.362541E-01, -2.179418E-01,  8.9062E-01
3400,  6.736856E-01, -2.458778E-01,  7.9688E-01
3500,  5.215930E-01, -1.508007E-01,  9.2188E-01
3600,  7.085111E-01, -2.476717E-01,  8.4375E-01
3700,  5.347368E-01, -2.280492E-01,  8.2812E-01
3800,  6.434214E-01, -2.621553E-01,  8.2812E-01
3900,  6.082855E-01, -2.334563E-01,  8.4375E-01
4000,  6.166543E-01, -2.478862E-01,  7.8125E-01
4100,  5.632436E-01, -2.174180E-01,  9.0625E-01
4200,  5.147367E-01, -1.914791E-01,  9.2188E-01
4300,  4.697117E-01, -1.742191E-01,  8.5938E-01
4400,  4.622607E-01, -1.717865E-01,  8.2812E-01
4500,  5.685954E-01, -2.065775E-01,  8.7500E-01
4600,  5.504705E-01, -1.771932E-01,  8.1250E-01
4700,  5.761441E-01, -2.042877E-01,  8.5938E-01
4800,  4.902716E-01, -2.043461E-01,  8.9062E-01
4900,  5.566689E-01, -2.423852E-01,  8.1250E-01
5000,  5.451585E-01, -2.062457E-01,  7.9688E-01
5100,  5.118763E-01, -1.687686E-01,  8.4375E-01
5200,  5.082160E-01, -2.253979E-01,  8.2812E-01
5300,  5.133662E-01, -1.902696E-01,  8.5938E-01
5400,  5.871745E-01, -1.982328E-01,  7.9688E-01
5500,  5.771099E-01, -1.576410E-01,  9.0625E-01
5600,  6.010307E-01, -2.349326E-01,  8.5938E-01
5700,  5.432483E-01, -1.635621E-01,  8.7500E-01
5800,  6.188791E-01, -2.369711E-01,  8.5938E-01
5900,  6.625413E-01, -2.041489E-01,  9.6875E-01
6000,  5.530474E-01, -1.670604E-01,  8.9062E-01
6100,  3.965599E-01, -1.407835E-01,  8.7500E-01
6200,  5.222558E-01, -2.456583E-01,  8.9062E-01
6300,  5.205305E-01, -2.301156E-01,  8.9062E-01
6400,  5.323513E-01, -1.800929E-01,  8.5938E-01
6500,  4.944369E-01, -1.836860E-01,  9.0625E-01
6600,  5.745007E-01, -1.904262E-01,  8.4375E-01
6700,  4.511165E-01, -1.917295E-01,  8.9062E-01
6800,  5.466487E-01, -2.174453E-01,  8.4375E-01
6900,  5.870887E-01, -2.299237E-01,  8.7500E-01
7000,  5.267948E-01, -1.237541E-01,  8.5938E-01
7100,  4.953803E-01, -2.234429E-01,  8.4375E-01
7200,  5.554594E-01, -1.862811E-01,  8.7500E-01
7300,  6.642867E-01, -2.146822E-01,  9.5312E-01
7400,  5.740570E-01, -2.235953E-01,  7.1875E-01
7500,  4.853914E-01, -1.793360E-01,  8.4375E-01
7600,  5.266322E-01, -2.197596E-01,  8.4375E-01
7700,  5.780551E-01, -2.122792E-01,  8.5938E-01
7800,  5.687342E-01, -1.769527E-01,  8.9062E-01
7900,  5.456744E-01, -2.128231E-01,  8.2812E-01
