# step, gen_loss, dis_loss, train_acc
100, -3.589185E-01, -7.869214E-03,  3.9062E-01
200, -1.014180E+00,  3.023243E-02,  5.4688E-01
300, -1.388405E+00,  4.511073E-02,  5.9375E-01
400, -1.881545E+00,  2.444189E-01,  5.6250E-01
500, -2.470213E+00,  3.096540E-01,  7.6562E-01
600, -1.016681E+00,  3.894458E-01,  4.5312E-01
700, -3.560359E-01,  2.035295E-01,  6.2500E-01
800, -9.969690E-02,  2.102951E-01,  6.4062E-01
900, -2.609695E-02,  3.249066E-01,  7.0312E-01
1000, -1.297258E-01,  2.012413E-01,  7.9688E-01
1100, -2.066669E-01,  1.588179E-01,  7.1875E-01
1200, -3.011290E-01,  1.299432E-01,  7.0312E-01
1300, -5.442923E-01,  1.450517E-01,  7.1875E-01
1400, -3.481601E-01,  2.464537E-01,  7.6562E-01
1500, -4.314010E-01,  1.202268E-01,  8.1250E-01
1600, -3.589371E-01,  5.883327E-02,  7.5000E-01
1700, -4.919685E-01,  5.333906E-02,  8.2812E-01
1800, -7.236658E-01,  1.160398E-01,  8.5938E-01
1900, -7.501577E-01,  9.675679E-02,  7.3438E-01
2000, -9.104659E-01,  9.383593E-02,  7.3438E-01
2100, -9.598342E-01,  1.977210E-01,  8.7500E-01
2200, -8.844523E-01,  4.817674E-02,  8.2812E-01
2300, -1.010445E+00,  1.332038E-01,  7.3438E-01
2400, -1.047894E+00,  8.328551E-02,  7.5000E-01
2500, -1.036484E+00,  1.597592E-01,  7.1875E-01
2600, -1.000359E+00,  1.834618E-01,  8.5938E-01
2700, -9.479918E-01, -5.720638E-03,  8.1250E-01
2800, -9.617063E-01,  6.551667E-02,  8.2812E-01
2900, -9.649611E-01,  8.169842E-02,  8.1250E-01
3000, -9.013153E-01,  8.422709E-02,  7.1875E-01
3100, -1.017168E+00,  1.910090E-01,  7.5000E-01
3200, -1.118451E+00,  2.437748E-03,  8.9062E-01
3300, -1.004460E+00,  6.683478E-02,  8.4375E-01
3400, -8.887650E-01,  7.302299E-02,  8.7500E-01
3500, -8.740903E-01,  7.848126E-02,  7.9688E-01
3600, -9.260774E-01,  8.203113E-02,  8.1250E-01
3700, -9.433775E-01,  1.775520E-01,  7.8125E-01
3800, -1.026013E+00,  1.076398E-01,  8.9062E-01
3900, -1.046487E+00,  1.006315E-01,  7.1875E-01
4000, -9.774318E-01,  2.144187E-01,  8.2812E-01
4100, -8.992598E-01,  1.578227E-01,  7.6562E-01
4200, -8.012403E-01,  2.508543E-01,  8.1250E-01
4300, -7.931522E-01,  2.626328E-02,  8.4375E-01
4400, -7.101510E-01,  1.051547E-01,  8.1250E-01
4500, -6.631857E-01,  1.928568E-01,  7.9688E-01
4600, -5.144519E-01,  2.331215E-01,  8.5938E-01
4700, -5.917432E-01,  2.419937E-01,  8.7500E-01
4800, -6.583830E-01,  1.478468E-01,  8.4375E-01
4900, -6.543845E-01,  6.561169E-02,  8.5938E-01
5000, -6.295716E-01,  1.119921E-01,  8.9062E-01
5100, -5.983237E-01,  2.146952E-01,  7.8125E-01
5200, -5.434875E-01,  8.057478E-02,  7.5000E-01
5300, -4.519625E-01,  5.264336E-02,  8.1250E-01
5400, -5.233051E-01,  1.279921E-01,  7.5000E-01
5500, -5.350506E-01,  8.657338E-02,  8.5938E-01
5600, -6.078640E-01,  6.023985E-02,  8.2812E-01
5700, -6.743370E-01,  6.265987E-02,  8.2812E-01
5800, -6.694000E-01,  3.688954E-01,  8.7500E-01
5900, -6.105157E-01,  1.122172E-01,  7.9688E-01
6000, -8.990938E-01,  1.694542E-01,  8.7500E-01
6100, -8.063890E-01,  1.370198E-01,  8.2812E-01
6200, -7.954328E-01,  6.716651E-02,  8.5938E-01
6300, -7.760459E-01,  2.008998E-01,  7.9688E-01
6400, -8.201207E-01,  1.589092E-01,  8.4375E-01
6500, -9.492196E-01,  9.139349E-02,  8.4375E-01
6600, -8.701349E-01,  1.459704E-01,  8.5938E-01
6700, -7.480561E-01,  1.137570E-01,  8.5938E-01
6800, -7.537136E-01,  7.876989E-02,  7.9688E-01
6900, -7.035815E-01,  1.192316E-01,  7.8125E-01
7000, -8.257829E-01,  3.140221E-01,  7.9688E-01
7100, -7.419698E-01,  1.421332E-01,  7.5000E-01
7200, -8.970008E-01,  1.434695E-01,  8.2812E-01
7300, -8.337134E-01,  1.070794E-01,  8.4375E-01
7400, -9.054775E-01,  1.476388E-01,  7.9688E-01
7500, -8.087143E-01,  1.194595E-01,  8.1250E-01
7600, -8.420504E-01,  9.619498E-02,  8.5938E-01
7700, -9.457207E-01,  3.421235E-01,  9.2188E-01
7800, -8.658606E-01,  2.485265E-01,  7.9688E-01
7900, -9.261934E-01,  6.181348E-02,  8.9062E-01
8000, -9.370469E-01,  9.428398E-02,  9.0625E-01
8100, -9.238089E-01,  6.422439E-02,  8.7500E-01
8200, -8.811030E-01,  1.568595E-01,  8.7500E-01
8300, -9.302150E-01,  1.967417E-01,  8.2812E-01
8400, -1.004890E+00,  1.561459E-01,  7.6562E-01
8500, -1.047827E+00,  1.237794E-01,  8.9062E-01
8600, -1.107926E+00,  1.214196E-01,  8.5938E-01
