# step, gen_loss, dis_loss, train_acc
100,  8.271098E-01, -3.686690E-01,  8.1250E-01
200,  5.353909E-01, -2.971577E-01,  8.9062E-01
300,  4.126355E-01, -2.726639E-01,  8.7500E-01
400,  2.502348E-01, -2.104490E-01,  8.5938E-01
500,  1.862330E-01, -2.350618E-01,  8.2812E-01
600,  1.311903E-01, -2.174102E-01,  9.2188E-01
700,  1.265354E-01, -2.067429E-01,  8.2812E-01
800,  2.580444E-02, -1.667632E-01,  8.7500E-01
900,  1.145372E-01, -1.378448E-01,  8.9062E-01
1000,  3.191075E-02, -1.238948E-01,  8.7500E-01
1100,  6.711962E-02, -1.290576E-01,  8.7500E-01
1200,  1.488017E-01, -1.307367E-01,  8.7500E-01
1300,  1.598689E-01, -6.529251E-02,  8.5938E-01
1400,  1.895060E-01, -9.876014E-02,  8.5938E-01
1500,  2.360824E-01, -6.320209E-02,  9.6875E-01
1600,  3.238445E-01, -7.699709E-02,  9.2188E-01
1700,  3.859816E-01, -5.055303E-02,  9.3750E-01
1800,  4.680175E-01, -6.820609E-02,  8.9062E-01
1900,  5.348511E-01, -5.036276E-02,  9.3750E-01
2000,  5.955108E-01, -4.152617E-02,  8.9062E-01
2100,  6.118146E-01, -3.462552E-02,  9.3750E-01
2200,  7.127085E-01, -7.372089E-02,  8.7500E-01
2300,  8.141917E-01, -6.244734E-02,  9.3750E-01
2400,  8.221605E-01, -7.536979E-02,  9.3750E-01
2500,  8.335379E-01, -4.628027E-02,  9.6875E-01
2600,  9.380140E-01, -4.464917E-02,  9.5312E-01
2700,  1.108045E+00, -5.921053E-02,  9.3750E-01
2800,  1.060525E+00, -6.159624E-02,  8.9062E-01
2900,  1.171916E+00, -8.000149E-02,  8.7500E-01
3000,  1.214437E+00, -2.649056E-02,  9.6875E-01
3100,  1.182843E+00, -8.791296E-02,  9.0625E-01
3200,  1.205363E+00, -2.452129E-02,  9.6875E-01
3300,  1.225551E+00, -5.134442E-02,  9.2188E-01
3400,  1.340026E+00, -7.256042E-02,  8.5938E-01
3500,  1.295727E+00, -3.668726E-02,  9.5312E-01
3600,  1.378859E+00, -4.795935E-02,  9.2188E-01
3700,  1.403769E+00, -3.651857E-02,  9.5312E-01
3800,  1.444023E+00, -1.292379E-02,  9.8438E-01
3900,  1.466191E+00, -6.267495E-02,  9.0625E-01
4000,  1.479145E+00, -4.406085E-02,  9.0625E-01
4100,  1.595198E+00, -2.857916E-02,  9.2188E-01
4200,  1.619500E+00, -4.334724E-02,  9.0625E-01
4300,  1.659277E+00, -3.918626E-02,  9.6875E-01
4400,  1.644660E+00, -3.171143E-02,  9.3750E-01
4500,  1.627800E+00, -6.800143E-02,  9.0625E-01
4600,  1.630344E+00, -8.468299E-02,  8.7500E-01
4700,  1.586294E+00, -4.026618E-02,  9.3750E-01
4800,  1.581660E+00, -3.849032E-02,  9.5312E-01
4900,  1.570586E+00, -4.265269E-02,  9.0625E-01
5000,  1.747387E+00, -1.469865E-02,  9.2188E-01
5100,  1.718872E+00, -4.193695E-02,  9.0625E-01
5200,  1.680459E+00, -3.301880E-03,  9.6875E-01
5300,  1.720498E+00, -3.121299E-02,  9.5312E-01
5400,  1.710318E+00, -2.283363E-02,  9.6875E-01
5500,  1.838856E+00, -3.532670E-02,  9.2188E-01
5600,  1.831272E+00, -2.587955E-02,  9.3750E-01
5700,  1.815836E+00, -5.090328E-02,  8.7500E-01
5800,  1.809048E+00, -3.665099E-02,  9.6875E-01
5900,  1.784465E+00, -6.156291E-02,  9.0625E-01
6000,  1.844257E+00, -3.785028E-02,  9.2188E-01
6100,  1.944339E+00, -1.106223E-02,  9.8438E-01
6200,  1.880791E+00, -4.114300E-02,  9.2188E-01
6300,  2.019019E+00, -5.797628E-02,  8.9062E-01
6400,  1.845258E+00, -1.297665E-02,  9.6875E-01
6500,  1.970736E+00, -4.162730E-02,  9.3750E-01
6600,  1.882151E+00, -2.944531E-02,  9.6875E-01
6700,  2.110926E+00, -8.093119E-02,  8.7500E-01
6800,  1.961079E+00, -5.363233E-02,  9.0625E-01
6900,  1.947134E+00, -3.640949E-02,  9.6875E-01
7000,  1.995555E+00, -3.948247E-02,  9.3750E-01
7100,  2.053285E+00, -4.121584E-02,  9.3750E-01
7200,  2.002136E+00, -4.323283E-02,  9.2188E-01
7300,  2.060255E+00, -1.066432E-02,  9.5312E-01
7400,  2.081394E+00, -4.401233E-02,  9.0625E-01
7500,  2.109075E+00, -4.829257E-02,  9.2188E-01
7600,  2.198269E+00, -3.138203E-02,  9.6875E-01
7700,  2.230115E+00, -1.770116E-02,  9.0625E-01
7800,  2.069328E+00, -2.230189E-02,  9.6875E-01
7900,  2.181063E+00, -4.440995E-02,  9.3750E-01
8000,  2.106681E+00, -4.144113E-02,  9.2188E-01
8100,  2.257658E+00, -4.484304E-02,  9.2188E-01
8200,  2.105303E+00, -1.671798E-02,  9.6875E-01
8300,  2.211063E+00, -2.613465E-02,  9.5312E-01
8400,  2.206421E+00, -2.474046E-02,  9.5312E-01
8500,  2.208248E+00, -6.279973E-02,  9.0625E-01
8600,  2.228754E+00, -7.411941E-02,  9.2188E-01
8700,  2.333610E+00, -2.391509E-02,  9.5312E-01
8800,  2.268239E+00, -3.508162E-02,  9.5312E-01
8900,  2.231544E+00, -3.057702E-02,  9.2188E-01
9000,  2.160455E+00, -3.488190E-02,  9.3750E-01
9100,  2.158349E+00, -2.649343E-02,  9.5312E-01
9200,  2.261542E+00, -4.610403E-02,  9.3750E-01
9300,  2.295131E+00, -7.925457E-02,  8.9062E-01
9400,  2.425012E+00, -5.642908E-02,  9.2188E-01
9500,  2.299431E+00, -5.258703E-02,  9.0625E-01
9600,  2.239768E+00, -3.011413E-02,  9.5312E-01
9700,  2.356625E+00, -1.059351E-02,  9.8438E-01
9800,  2.228363E+00, -1.840420E-02,  9.8438E-01
9900,  2.290628E+00, -1.346519E-02,  1.0000E+00
10000,  2.287094E+00, -4.193627E-02,  9.2188E-01
10100,  2.403883E+00, -5.712852E-02,  9.2188E-01
10200,  2.323874E+00, -3.058931E-02,  9.3750E-01
10300,  2.331841E+00, -2.616912E-02,  9.2188E-01
10400,  2.250753E+00, -8.128920E-03,  1.0000E+00
10500,  2.289816E+00, -2.434563E-02,  9.3750E-01
10600,  2.384961E+00, -4.250777E-02,  9.3750E-01
10700,  2.419094E+00, -4.576252E-02,  9.5312E-01
10800,  2.323005E+00, -3.104739E-02,  9.5312E-01
10900,  2.359909E+00, -2.772827E-02,  9.2188E-01
11000,  2.402745E+00, -3.832453E-02,  9.0625E-01
11100,  2.391995E+00, -4.144495E-02,  9.5312E-01
11200,  2.458072E+00, -4.960018E-02,  9.3750E-01
11300,  2.404107E+00, -7.729170E-03,  1.0000E+00
11400,  2.356649E+00, -4.915319E-02,  9.2188E-01
11500,  2.483251E+00, -1.121213E-02,  9.5312E-01
11600,  2.546443E+00, -6.352766E-03,  9.8438E-01
11700,  2.487649E+00, -3.523409E-02,  9.3750E-01
11800,  2.399207E+00, -1.335882E-02,  9.6875E-01
11900,  2.504327E+00, -6.712858E-02,  9.3750E-01
12000,  2.484361E+00, -5.925063E-02,  9.2188E-01
12100,  2.482620E+00, -1.331366E-02,  9.8438E-01
12200,  2.412711E+00, -3.833070E-02,  9.2188E-01
12300,  2.453852E+00, -3.159389E-02,  9.6875E-01
12400,  2.479805E+00, -3.725556E-02,  9.5312E-01
12500,  2.477489E+00, -2.380228E-02,  9.5312E-01
12600,  2.636837E+00, -4.913249E-02,  9.2188E-01
