# step, gen_loss, dis_loss, train_acc
100, -6.415355E+00, -2.151109E-01,  5.7812E-01
200, -2.084261E+00, -1.545117E-01,  7.1875E-01
300, -4.975232E+00, -1.722873E-01,  7.9688E-01
400, -7.483559E+00, -1.737437E-01,  8.2812E-01
500, -1.988492E+00, -1.793701E-01,  7.5000E-01
600,  4.802844E-01, -1.659012E-01,  7.9688E-01
700, -8.387247E-01, -1.694983E-01,  8.4375E-01
800, -3.267639E+00, -1.725546E-01,  6.8750E-01
900,  1.098267E-01, -1.576782E-01,  8.7500E-01
1000, -1.769041E+00, -1.992978E-01,  7.6562E-01
1100,  3.988202E-01, -1.555009E-01,  8.5938E-01
1200,  3.623368E-01, -1.018474E-01,  9.0625E-01
1300,  1.345844E+00, -1.568445E-01,  8.1250E-01
1400,  2.522802E+00, -2.042762E-01,  9.0625E-01
1500,  4.860932E-01, -1.404429E-01,  9.0625E-01
1600,  7.162333E-01, -1.261164E-01,  8.4375E-01
1700,  1.039313E-01, -1.532681E-01,  9.0625E-01
1800,  7.821255E-01, -1.527829E-01,  8.4375E-01
1900,  1.153800E+00, -1.495787E-01,  8.5938E-01
2000,  3.488957E-01, -1.476628E-01,  8.2812E-01
2100,  3.063627E-01, -2.025567E-01,  7.8125E-01
2200,  5.364509E-01, -1.849045E-01,  7.8125E-01
2300,  2.032667E-01, -1.373137E-01,  8.5938E-01
2400,  4.459941E-01, -1.394238E-01,  7.6562E-01
2500,  4.166318E-01, -1.505362E-01,  8.4375E-01
2600, -2.636092E-01, -1.618998E-01,  8.4375E-01
2700,  2.197627E-02, -1.427572E-01,  9.0625E-01
2800,  3.777909E-01, -1.931943E-01,  8.2812E-01
2900,  1.020726E-01, -1.787323E-01,  8.1250E-01
3000, -2.559217E-02, -1.778897E-01,  7.5000E-01
3100, -2.560329E-01, -1.684608E-01,  8.1250E-01
3200, -8.701277E-01, -1.449283E-01,  8.5938E-01
3300, -3.681483E-02, -1.347711E-01,  8.5938E-01
3400, -2.928713E-01, -1.641538E-01,  8.2812E-01
3500, -2.491279E-01, -1.706492E-01,  8.1250E-01
3600, -4.006166E-01, -1.448886E-01,  7.9688E-01
3700, -6.490945E-01, -1.750939E-01,  7.3438E-01
3800, -5.971879E-01, -1.784471E-01,  8.1250E-01
3900, -3.832715E-01, -1.599340E-01,  7.6562E-01
4000, -5.130007E-01, -1.439085E-01,  8.9062E-01
4100, -3.419779E-01, -1.556681E-01,  8.2812E-01
4200, -1.934042E-01, -1.828362E-01,  8.1250E-01
4300, -1.644534E-01, -1.735029E-01,  8.5938E-01
4400, -2.163419E-01, -1.365219E-01,  8.5938E-01
4500, -4.529565E-01, -1.484108E-01,  8.1250E-01
4600, -5.411543E-01, -1.243862E-01,  7.8125E-01
4700, -5.730736E-01, -1.447430E-01,  8.5938E-01
4800, -8.222351E-01, -1.215904E-01,  8.2812E-01
4900, -1.870797E-01, -1.545073E-01,  7.9688E-01
5000, -4.832895E-01, -1.424960E-01,  9.8438E-01
5100, -2.126656E-01, -1.366519E-01,  8.2812E-01
5200, -6.807511E-01, -1.290343E-01,  8.4375E-01
5300, -3.989493E-01, -1.508404E-01,  8.1250E-01
5400, -3.990871E-01, -1.371606E-01,  8.4375E-01
5500, -6.140966E-01, -1.278152E-01,  8.5938E-01
5600, -4.361717E-01, -1.142655E-01,  8.1250E-01
5700, -2.487433E-01, -1.617875E-01,  7.9688E-01
5800, -2.007340E-01, -1.380354E-01,  8.5938E-01
5900, -4.190782E-01, -1.265125E-01,  9.0625E-01
6000, -5.963089E-01, -1.375130E-01,  8.9062E-01
6100, -6.999953E-01, -1.367117E-01,  8.9062E-01
6200, -3.931209E-01, -1.003736E-01,  8.4375E-01
6300, -5.423385E-01, -1.475974E-01,  8.5938E-01
6400, -7.143164E-01, -1.193884E-01,  8.7500E-01
6500, -7.434716E-01, -1.450372E-01,  8.7500E-01
6600, -4.991380E-01, -1.466795E-01,  8.7500E-01
6700, -3.577114E-01, -9.279615E-02,  9.3750E-01
6800, -4.856207E-01, -1.248036E-01,  8.9062E-01
6900, -5.102514E-01, -1.217438E-01,  8.5938E-01
7000, -5.927596E-01, -1.192734E-01,  9.0625E-01
7100, -5.339105E-01, -1.306065E-01,  8.7500E-01
7200, -3.910400E-01, -1.477630E-01,  8.2812E-01
7300, -1.313097E-01, -1.736924E-01,  8.5938E-01
7400, -5.597224E-01, -1.162839E-01,  9.0625E-01
7500, -3.708606E-01, -1.548516E-01,  7.9688E-01
7600, -3.097871E-01, -1.410109E-01,  7.3438E-01
7700, -4.727585E-01, -1.113050E-01,  8.4375E-01
7800, -3.121545E-01, -1.392924E-01,  7.8125E-01
7900, -3.272020E-01, -1.176960E-01,  8.7500E-01
8000, -3.540663E-01, -1.423861E-01,  7.9688E-01
8100, -4.319411E-01, -1.351171E-01,  8.4375E-01
8200, -2.331538E-01, -1.362354E-01,  7.8125E-01
8300, -3.420111E-01, -1.190288E-01,  8.2812E-01
8400, -1.676324E-01, -1.433820E-01,  9.0625E-01
8500, -4.803649E-01, -1.296252E-01,  9.2188E-01
8600, -4.303150E-01, -9.181291E-02,  8.7500E-01
8700, -5.000133E-01, -1.278548E-01,  8.4375E-01
8800, -5.309076E-01, -8.670226E-02,  9.2188E-01
8900, -5.847979E-01, -1.272728E-01,  8.4375E-01
9000, -6.591067E-01, -1.250253E-01,  8.4375E-01
9100, -5.941565E-01, -1.168662E-01,  8.5938E-01
9200, -5.317672E-01, -1.071807E-01,  9.0625E-01
9300, -4.529032E-01, -1.012366E-01,  8.5938E-01
9400, -2.640359E-01, -1.337893E-01,  7.9688E-01
9500, -7.164074E-01, -1.021705E-01,  8.7500E-01
9600, -5.210784E-01, -1.252974E-01,  8.5938E-01
9700, -5.682244E-01, -1.029316E-01,  8.1250E-01
9800, -7.747019E-01, -9.852587E-02,  8.9062E-01
9900, -5.597464E-01, -1.131551E-01,  8.7500E-01
10000, -5.104981E-01, -9.478648E-02,  8.9062E-01
10100, -6.847517E-01, -1.117729E-01,  8.5938E-01
10200, -7.045003E-01, -6.792307E-02,  8.7500E-01
10300, -5.571586E-01, -8.930673E-02,  9.2188E-01
10400, -7.577866E-01, -7.660531E-02,  8.7500E-01
10500, -5.206910E-01, -1.015061E-01,  8.9062E-01
10600, -2.782804E-01, -9.560680E-02,  9.5312E-01
10700, -4.746044E-01, -1.216589E-01,  8.5938E-01
10800, -3.748465E-01, -1.165481E-01,  7.5000E-01
10900, -7.550855E-01, -1.224677E-01,  8.7500E-01
11000, -2.974710E-01, -9.282271E-02,  8.4375E-01
11100, -5.753166E-01, -8.728902E-02,  8.4375E-01
11200, -6.194865E-01, -1.035051E-01,  8.5938E-01
11300, -6.061423E-01, -1.007028E-01,  8.7500E-01
11400, -4.997430E-01, -1.156408E-01,  8.1250E-01
11500, -4.479289E-01, -1.127308E-01,  8.2812E-01
11600, -4.573091E-01, -9.891792E-02,  8.9062E-01
11700, -7.631382E-01, -8.285491E-02,  8.7500E-01
11800, -5.045550E-01, -8.563010E-02,  8.7500E-01
11900, -4.905045E-01, -6.524713E-02,  9.3750E-01
12000, -5.721858E-01, -9.601112E-02,  8.4375E-01
12100, -5.733645E-01, -9.642609E-02,  8.5938E-01
12200, -8.657817E-01, -1.412061E-01,  7.9688E-01
12300, -5.739828E-01, -8.520813E-02,  7.9688E-01
12400, -7.732701E-01, -1.360524E-01,  8.4375E-01
12500, -6.369910E-01, -1.182516E-01,  8.7500E-01
12600, -4.841751E-01, -8.359576E-02,  8.9062E-01
12700, -8.742257E-01, -8.743826E-02,  9.0625E-01
12800, -7.763196E-01, -1.080140E-01,  8.9062E-01
12900, -8.299472E-01, -7.052052E-02,  9.2188E-01
13000, -6.384091E-01, -9.078413E-02,  8.9062E-01
13100, -4.520409E-01, -9.576112E-02,  8.9062E-01
13200, -6.651990E-01, -1.141377E-01,  8.5938E-01
13300, -5.527123E-01, -1.324572E-01,  8.1250E-01
13400, -7.505183E-01, -7.728237E-02,  8.7500E-01
13500, -7.077079E-01, -8.476439E-02,  9.0625E-01
13600, -5.204365E-01, -1.204324E-01,  8.4375E-01
13700, -5.997775E-01, -9.524422E-02,  8.9062E-01
13800, -8.880859E-01, -7.881723E-02,  7.9688E-01
13900, -1.036545E+00, -9.852197E-02,  8.2812E-01
14000, -6.480564E-01, -6.524289E-02,  9.0625E-01
14100, -9.121186E-01, -8.460630E-02,  8.9062E-01
14200, -7.481182E-01, -9.273267E-02,  8.5938E-01
14300, -1.119592E+00, -1.103489E-01,  8.7500E-01
14400, -8.825922E-01, -8.969621E-02,  8.5938E-01
14500, -7.354244E-01, -1.117359E-01,  8.5938E-01
14600, -1.018650E+00, -8.852263E-02,  8.9062E-01
14700, -9.949471E-01, -8.744448E-02,  8.5938E-01
14800, -9.528205E-01, -6.176115E-02,  9.3750E-01
14900, -6.885030E-01, -5.938703E-02,  9.0625E-01
15000, -7.989087E-01, -1.114742E-01,  8.5938E-01
15100, -5.805455E-01, -1.189834E-01,  7.5000E-01
15200, -6.696252E-01, -9.901255E-02,  9.2188E-01
15300, -8.623494E-01, -1.080237E-01,  8.5938E-01
15400, -7.060905E-01, -9.978051E-02,  8.2812E-01
15500, -9.254750E-01, -7.440680E-02,  8.7500E-01
15600, -6.422737E-01, -7.878279E-02,  8.7500E-01
15700, -8.904042E-01, -9.206135E-02,  8.5938E-01
15800, -9.166313E-01, -1.121145E-01,  8.7500E-01
15900, -8.424755E-01, -1.005316E-01,  8.7500E-01
16000, -8.932413E-01, -6.406359E-02,  8.7500E-01
16100, -8.103929E-01, -6.910887E-02,  9.2188E-01
16200, -8.719825E-01, -1.003153E-01,  8.4375E-01
16300, -7.777945E-01, -6.193088E-02,  9.0625E-01
16400, -9.354101E-01, -4.615009E-02,  9.3750E-01
16500, -5.436661E-01, -7.535190E-02,  9.2188E-01
16600, -7.464196E-01, -7.332835E-02,  9.2188E-01
16700, -7.661486E-01, -6.229658E-02,  8.9062E-01
16800, -8.710580E-01, -7.934558E-02,  8.7500E-01
16900, -4.349644E-01, -7.269179E-02,  8.9062E-01
17000, -7.707078E-01, -9.505039E-02,  8.2812E-01
17100, -9.709216E-01, -1.187738E-01,  8.4375E-01
17200, -8.151094E-01, -5.736298E-02,  9.3750E-01
17300, -3.657578E-01, -7.052945E-02,  9.6875E-01
17400, -8.921309E-01, -9.762817E-02,  9.2188E-01
17500, -8.324347E-01, -6.639631E-02,  8.9062E-01
17600, -5.206631E-01, -7.258213E-02,  8.5938E-01
17700, -7.460803E-01, -1.075640E-01,  8.5938E-01
17800, -6.837774E-01, -6.077994E-02,  9.0625E-01
17900, -1.092075E+00, -7.261346E-02,  9.5312E-01
18000, -8.385916E-01, -5.808471E-02,  8.4375E-01
18100, -6.122826E-01, -3.176603E-02,  9.8438E-01
18200, -7.331464E-01, -1.079372E-01,  8.1250E-01
18300, -1.010184E+00, -7.290550E-02,  9.3750E-01
18400, -5.756727E-01, -6.047828E-02,  9.2188E-01
18500, -3.595353E-01, -8.198652E-02,  8.9062E-01
18600, -6.934774E-01, -6.577733E-02,  8.9062E-01
18700, -7.751988E-01, -8.899559E-02,  9.0625E-01
18800, -8.528248E-01, -6.727232E-02,  8.9062E-01
18900, -7.025917E-01, -8.435125E-02,  9.3750E-01
19000, -8.761452E-01, -5.889709E-02,  8.4375E-01
19100, -6.428850E-01, -6.090268E-02,  9.3750E-01
19200, -1.012634E+00, -4.315760E-02,  9.3750E-01
19300, -5.726126E-01, -9.128029E-02,  8.9062E-01
19400, -6.647727E-01, -9.729841E-02,  8.4375E-01
19500, -9.504820E-01, -7.703544E-02,  8.9062E-01
19600, -1.928414E-01, -7.483719E-02,  9.5312E-01
19700, -2.715621E-01, -5.470327E-02,  9.0625E-01
19800, -4.411977E-01, -7.976352E-02,  8.4375E-01
19900, -3.391537E-01, -4.962713E-02,  8.9062E-01
20000, -6.429387E-01, -9.323239E-02,  8.5938E-01
20100, -2.014842E-01, -8.230475E-02,  8.7500E-01
20200, -5.784472E-01, -5.426352E-02,  8.9062E-01
20300, -4.855851E-01, -8.324296E-02,  9.2188E-01
20400, -7.211630E-01, -8.318504E-02,  8.9062E-01
20500, -6.011299E-01, -7.409742E-02,  8.4375E-01
20600, -8.821609E-01, -8.940475E-02,  8.7500E-01
20700, -5.609434E-01, -6.188837E-02,  9.2188E-01
20800, -7.479309E-01, -3.031900E-02,  9.0625E-01
20900, -8.187326E-01, -6.571116E-02,  9.3750E-01
21000, -6.137987E-01, -5.464575E-02,  9.0625E-01
21100, -6.694986E-01, -6.914654E-02,  8.9062E-01
21200, -2.948182E-01, -4.398832E-02,  9.2188E-01
21300, -3.868675E-01, -9.451254E-02,  8.2812E-01
21400, -8.049162E-01, -5.671026E-02,  8.9062E-01
21500, -5.516601E-01, -6.393217E-02,  9.3750E-01
21600, -5.825303E-01, -5.299073E-02,  9.6875E-01
21700, -7.993398E-01, -8.950725E-02,  8.5938E-01
21800, -4.299505E-01, -8.039944E-02,  8.2812E-01
21900, -2.480345E-01, -9.155042E-02,  8.9062E-01
22000, -3.288070E-01, -1.061166E-01,  8.2812E-01
22100, -3.584684E-01, -7.280446E-02,  8.4375E-01
22200, -3.043219E-01, -8.069990E-02,  8.4375E-01
22300, -5.289844E-01, -6.797616E-02,  8.7500E-01
22400, -4.689953E-01, -5.671490E-02,  8.9062E-01
22500, -3.790551E-01, -7.071726E-02,  8.7500E-01
22600, -5.925316E-01, -8.249485E-02,  8.5938E-01
22700, -6.127812E-01, -8.629484E-02,  8.9062E-01
22800, -6.193264E-01, -7.797821E-02,  9.3750E-01
22900, -5.551801E-01, -7.622637E-02,  8.7500E-01
23000, -5.694503E-01, -7.379813E-02,  8.7500E-01
23100, -5.627847E-01, -9.753285E-02,  8.7500E-01
23200, -6.592193E-01, -6.440666E-02,  7.9688E-01
23300, -6.660438E-01, -8.629796E-02,  8.5938E-01
23400, -4.772452E-01, -8.957580E-02,  8.9062E-01
23500, -7.161267E-01, -8.079797E-02,  9.0625E-01
23600, -5.913839E-01, -6.805612E-02,  8.4375E-01
23700, -5.877901E-01, -5.355662E-02,  8.2812E-01
23800, -7.948551E-01, -4.030457E-02,  8.7500E-01
23900, -8.334367E-01, -6.955495E-02,  9.3750E-01
24000, -7.754517E-01, -5.945100E-02,  9.0625E-01
24100, -7.058578E-01, -8.193658E-02,  8.9062E-01
24200, -2.890266E-01, -5.406933E-02,  8.9062E-01
