# step, gen_loss, dis_loss, train_acc
100, -3.251178E+01, -2.508438E-01,  5.9375E-01
200, -2.551161E+01, -1.692396E-01,  7.6562E-01
300, -2.218136E+01, -1.935869E-01,  7.6562E-01
400, -2.099407E+01, -1.943898E-01,  7.6562E-01
500, -1.683781E+01, -1.791962E-01,  8.1250E-01
600, -1.436726E+01, -2.349900E-01,  7.8125E-01
700, -6.606591E+00, -1.810863E-01,  8.9062E-01
800, -3.455868E+00, -2.177248E-01,  8.4375E-01
900, -2.813096E+00, -2.015010E-01,  9.2188E-01
1000, -3.455603E+00, -1.496730E-01,  8.5938E-01
1100, -1.663077E+00, -2.413163E-01,  7.8125E-01
1200, -1.638767E+00, -1.891770E-01,  8.2812E-01
1300, -1.601550E+00, -2.232579E-01,  8.4375E-01
1400, -1.343158E+00, -1.984806E-01,  9.2188E-01
1500, -1.501051E+00, -1.735449E-01,  8.1250E-01
1600, -1.260449E+00, -2.153897E-01,  7.6562E-01
1700, -1.300420E+00, -1.608912E-01,  8.2812E-01
1800, -4.311199E-01, -1.947304E-01,  8.1250E-01
1900, -3.467499E-01, -1.618493E-01,  8.7500E-01
2000, -8.293972E-01, -1.611958E-01,  8.1250E-01
2100, -1.076219E+00, -1.335381E-01,  8.1250E-01
2200, -8.463987E-01, -1.580098E-01,  7.8125E-01
2300, -6.474283E-01, -1.246992E-01,  8.9062E-01
2400, -4.974090E-01, -1.811776E-01,  7.9688E-01
2500, -5.406401E-01, -1.402259E-01,  8.5938E-01
2600, -3.036607E-01, -1.769100E-01,  8.4375E-01
2700, -8.486073E-01, -1.335928E-01,  8.1250E-01
2800, -1.017710E+00, -1.896926E-01,  8.9062E-01
2900, -8.662103E-01, -1.594130E-01,  7.8125E-01
3000, -4.559817E-01, -1.558072E-01,  8.1250E-01
3100, -7.300401E-01, -1.876491E-01,  8.7500E-01
3200, -8.099312E-01, -1.425568E-01,  8.5938E-01
3300, -9.396150E-01, -1.505443E-01,  8.5938E-01
3400, -6.859702E-01, -1.863397E-01,  7.8125E-01
3500, -9.037077E-01, -1.544653E-01,  8.1250E-01
3600, -1.251053E+00, -1.928513E-01,  8.4375E-01
3700, -8.557675E-01, -1.540211E-01,  8.2812E-01
3800, -5.386044E-01, -1.735484E-01,  8.4375E-01
3900, -5.660056E-01, -1.508954E-01,  8.4375E-01
4000, -7.073486E-01, -1.537397E-01,  8.9062E-01
4100, -1.025457E+00, -1.660102E-01,  8.5938E-01
4200, -3.960142E-01, -1.626618E-01,  8.2812E-01
4300, -1.101980E+00, -1.495839E-01,  9.0625E-01
4400, -8.991300E-01, -1.151773E-01,  8.9062E-01
4500, -9.554011E-01, -1.327067E-01,  8.5938E-01
4600, -1.310912E+00, -1.664183E-01,  8.1250E-01
4700, -8.635113E-01, -1.819294E-01,  8.2812E-01
4800, -7.627983E-01, -1.182246E-01,  8.9062E-01
4900, -7.697564E-01, -1.668415E-01,  8.7500E-01
5000, -9.845573E-01, -1.170962E-01,  8.7500E-01
5100, -8.238542E-01, -1.078683E-01,  8.2812E-01
5200, -6.088686E-01, -1.216899E-01,  8.1250E-01
5300, -6.163731E-01, -1.314696E-01,  7.9688E-01
5400, -8.834007E-01, -1.431433E-01,  8.5938E-01
5500, -9.483789E-01, -1.415312E-01,  9.0625E-01
5600, -7.662753E-01, -1.582720E-01,  8.5938E-01
5700, -9.236644E-01, -1.288329E-01,  7.5000E-01
5800, -1.227189E+00, -1.384913E-01,  7.3438E-01
5900, -1.067100E+00, -1.219936E-01,  9.0625E-01
6000, -1.029186E+00, -1.353317E-01,  8.5938E-01
6100, -1.115839E+00, -1.291574E-01,  7.8125E-01
6200, -1.058729E+00, -1.372725E-01,  7.9688E-01
6300, -6.495381E-01, -1.501441E-01,  7.3438E-01
6400, -7.269340E-01, -9.437434E-02,  8.9062E-01
6500, -5.781755E-01, -1.593426E-01,  8.4375E-01
6600, -7.510677E-01, -1.088935E-01,  8.9062E-01
6700, -7.242239E-01, -1.323029E-01,  9.2188E-01
6800, -1.064543E+00, -1.344483E-01,  8.5938E-01
6900, -5.706813E-01, -8.617972E-02,  8.7500E-01
7000, -5.457649E-01, -1.617182E-01,  7.9688E-01
7100, -1.101281E+00, -1.134465E-01,  7.9688E-01
7200, -6.947463E-01, -1.436995E-01,  8.4375E-01
7300, -4.269301E-01, -1.386181E-01,  9.0625E-01
7400, -8.660306E-01, -1.126299E-01,  8.4375E-01
7500, -8.400434E-01, -1.375024E-01,  8.4375E-01
7600, -9.240876E-01, -1.185939E-01,  8.4375E-01
7700, -8.963073E-01, -1.045279E-01,  8.2812E-01
7800, -6.999800E-01, -1.333283E-01,  8.1250E-01
7900, -7.680789E-01, -9.637415E-02,  9.0625E-01
8000, -1.069673E+00, -1.108996E-01,  8.9062E-01
8100, -5.630416E-01, -1.250641E-01,  8.5938E-01
8200, -9.290816E-01, -1.481204E-01,  7.5000E-01
8300, -7.607278E-01, -1.252783E-01,  8.9062E-01
8400, -5.830027E-01, -1.355738E-01,  8.7500E-01
8500, -8.345247E-01, -5.819068E-02,  8.9062E-01
8600, -7.747117E-01, -1.268808E-01,  8.4375E-01
8700, -7.770017E-01, -1.303500E-01,  8.2812E-01
8800, -5.651991E-01, -1.193776E-01,  8.2812E-01
8900, -8.689129E-01, -1.133527E-01,  7.9688E-01
9000, -7.612299E-01, -9.344885E-02,  9.0625E-01
9100, -1.018692E+00, -1.109263E-01,  9.0625E-01
9200, -8.523509E-01, -1.062479E-01,  8.1250E-01
9300, -8.204990E-01, -1.346578E-01,  7.9688E-01
9400, -5.141003E-01, -1.085620E-01,  8.2812E-01
9500, -5.520808E-01, -1.277274E-01,  7.9688E-01
9600, -8.936473E-01, -1.357495E-01,  8.2812E-01
9700, -7.827843E-01, -1.007124E-01,  7.8125E-01
9800, -6.267213E-01, -1.498576E-01,  7.6562E-01
9900, -7.141206E-01, -1.043686E-01,  7.8125E-01
10000, -4.235519E-01, -1.246773E-01,  8.5938E-01
