# step, gen_loss, dis_loss, train_acc
100,  1.493627E+00, -3.085721E-01,  5.1562E-01
200, -4.002496E+00, -1.379492E-01,  6.2500E-01
300, -3.616338E-01, -9.352030E-02,  6.8750E-01
400, -2.108760E+00, -7.642184E-02,  6.5625E-01
500,  9.351416E-01, -3.627189E-02,  8.9062E-01
600,  2.267102E+00, -5.257063E-02,  7.9688E-01
700,  1.692022E+00, -1.671539E-02,  8.1250E-01
800,  2.036795E+00, -4.516148E-02,  7.3438E-01
900, -6.003968E-01, -7.339947E-02,  7.3438E-01
1000,  5.584677E-01, -3.355328E-02,  8.2812E-01
1100, -2.802110E-01, -2.409761E-02,  7.8125E-01
1200,  9.747632E-01, -9.990538E-03,  8.4375E-01
1300,  4.933446E+00, -2.550055E-02,  7.1875E-01
1400,  1.088814E+01, -1.589079E-02,  8.1250E-01
1500,  6.886000E+00, -2.591558E-02,  8.2812E-01
1600,  3.340994E-01, -8.526508E-03,  8.2812E-01
1700,  8.209683E+00, -2.935457E-02,  7.9688E-01
1800,  4.446596E+00, -2.319299E-02,  7.3438E-01
1900,  7.598569E+00, -1.348851E-02,  8.9062E-01
2000,  5.066130E+00, -2.136264E-02,  8.7500E-01
2100,  7.557321E+00, -3.264061E-02,  8.2812E-01
2200,  8.075453E+00, -2.035146E-02,  7.5000E-01
2300,  7.284473E+00, -2.009687E-02,  8.5938E-01
2400,  3.140979E+00, -5.052891E-03,  7.9688E-01
2500,  7.333392E+00, -6.214376E-03,  8.5938E-01
2600,  7.775081E+00, -1.933756E-02,  8.5938E-01
2700,  6.787084E+00, -2.677805E-02,  7.5000E-01
2800,  1.200788E+01, -3.950710E-03,  8.4375E-01
2900,  1.297602E+01, -1.726506E-02,  7.8125E-01
3000,  9.092896E+00, -1.256402E-02,  8.5938E-01
3100,  1.401925E+01, -1.314069E-02,  8.4375E-01
3200,  1.286461E+01, -5.059721E-02,  7.9688E-01
3300,  1.074661E+01, -1.815008E-03,  8.2812E-01
3400,  2.102683E+00, -2.225976E-02,  7.6562E-01
3500,  1.169278E+01, -2.261858E-02,  8.1250E-01
3600,  4.439593E+00, -1.465745E-02,  9.2188E-01
3700,  8.399335E+00, -1.184170E-02,  8.5938E-01
3800,  1.487446E+01, -2.146358E-02,  9.0625E-01
3900,  1.248580E+01, -1.282780E-02,  8.2812E-01
4000,  1.114003E+01, -1.041280E-02,  9.2188E-01
4100,  1.356067E+01, -4.111667E-02,  8.5938E-01
4200,  1.518224E+01, -9.031987E-03,  9.0625E-01
4300,  1.549935E+01, -4.769299E-03,  8.9062E-01
4400,  1.306343E+01, -1.530742E-02,  8.5938E-01
4500,  1.040691E+01, -3.820918E-02,  7.9688E-01
4600,  1.586068E+01, -2.800816E-02,  8.9062E-01
4700,  3.806097E+00, -3.289091E-02,  8.4375E-01
4800,  7.926912E+00, -1.291466E-02,  8.9062E-01
4900,  2.159614E+00, -1.800608E-02,  9.2188E-01
5000,  7.899348E+00, -2.394337E-04,  9.0625E-01
5100,  1.808001E+01, -1.786216E-02,  8.5938E-01
5200,  9.796374E+00, -5.095778E-03,  9.0625E-01
5300,  1.063884E+01,  2.440542E-03,  9.2188E-01
5400,  2.986688E-01, -1.734770E-02,  8.7500E-01
5500,  8.944711E+00, -3.806038E-02,  8.9062E-01
5600, -1.043886E+00, -1.894355E-02,  8.9062E-01
5700,  5.971107E+00, -1.252387E-02,  9.5312E-01
5800,  2.420125E+00, -1.275545E-02,  8.9062E-01
5900,  1.176525E+01, -1.223561E-02,  9.0625E-01
6000,  7.829064E+00, -6.674208E-03,  9.0625E-01
6100,  1.676526E+00, -1.235520E-03,  8.9062E-01
6200, -1.137097E+00, -2.529679E-03,  9.5312E-01
6300,  1.063944E+01, -3.346576E-02,  9.0625E-01
6400,  5.903433E+00, -8.959287E-03,  8.9062E-01
6500,  8.742556E+00, -6.835329E-03,  8.9062E-01
6600, -5.821747E+00, -2.749507E-03,  9.3750E-01
6700, -8.040472E+00, -3.327079E-02,  8.9062E-01
6800,  5.232291E+00, -1.539031E-02,  8.2812E-01
6900, -1.233615E+00, -2.520495E-02,  8.5938E-01
7000,  8.037443E+00, -2.488005E-02,  8.9062E-01
7100, -1.179454E+01, -2.942655E-02,  9.0625E-01
7200, -2.912601E+00, -1.257879E-02,  8.9062E-01
7300, -9.638487E+00, -2.343570E-02,  9.3750E-01
7400, -8.766171E-01, -2.372561E-02,  8.7500E-01
7500,  2.191959E+00, -1.683476E-02,  9.2188E-01
7600, -1.459601E+01,  9.736378E-03,  9.0625E-01
7700, -1.756157E+01, -9.020517E-03,  8.7500E-01
7800, -7.103319E+00, -3.941672E-02,  8.1250E-01
7900, -1.482472E+01, -2.763100E-02,  8.4375E-01
8000, -9.542461E+00, -1.926018E-02,  8.4375E-01
8100, -1.286470E+01, -2.656687E-02,  8.9062E-01
8200, -1.472245E+01, -6.156432E-03,  8.5938E-01
8300, -2.265991E+00, -8.262301E-03,  8.9062E-01
8400, -6.456785E+00, -6.071182E-03,  8.2812E-01
8500, -1.924603E+01, -1.002565E-02,  8.5938E-01
8600, -1.601344E+01, -1.816108E-02,  8.2812E-01
8700, -9.365355E+00, -2.744547E-02,  7.9688E-01
8800, -1.610088E+01, -3.148858E-02,  9.0625E-01
8900, -1.904291E+01,  1.043453E-03,  9.3750E-01
9000, -1.636270E+01, -3.357859E-02,  8.4375E-01
9100, -1.476187E+01, -2.477863E-02,  9.0625E-01
9200, -2.537426E+01, -5.693026E-04,  9.3750E-01
9300, -2.989791E+01, -2.706067E-02,  8.9062E-01
9400, -2.803956E+01, -1.668436E-02,  8.7500E-01
9500, -2.851204E+01, -4.714718E-02,  7.9688E-01
9600, -2.382726E+01, -1.946630E-02,  8.2812E-01
9700, -1.632006E+01,  1.048645E-02,  8.5938E-01
9800, -2.814055E+01,  1.296747E-02,  8.1250E-01
9900, -1.745124E+01, -1.286221E-02,  8.7500E-01
10000, -1.462188E+01,  5.070074E-05,  9.2188E-01
10100, -1.144884E+01, -6.851006E-03,  9.0625E-01
10200, -9.432815E+00, -4.661399E-03,  9.2188E-01
10300, -2.593720E+01, -1.631700E-02,  9.0625E-01
10400, -1.096706E+01, -1.281546E-02,  9.2188E-01
10500, -1.504700E+01, -2.990649E-02,  8.9062E-01
10600, -1.932666E+01, -5.779135E-03,  9.0625E-01
10700, -2.708612E+01, -2.216560E-02,  8.9062E-01
10800, -1.849445E+01, -1.871151E-02,  8.5938E-01
10900, -2.910899E+01, -1.338807E-02,  8.7500E-01
11000, -1.036209E+01, -1.662594E-02,  8.7500E-01
11100, -1.996936E+01, -1.270126E-02,  9.0625E-01
11200, -2.484906E+01, -7.560723E-03,  8.7500E-01
11300, -1.234147E+01, -5.287854E-03,  8.9062E-01
11400, -1.296643E+01, -5.345879E-03,  9.3750E-01
11500,  5.399260E+00, -1.468450E-02,  8.5938E-01
11600, -1.280184E+01,  1.040199E-02,  9.5312E-01
11700, -2.595738E+01, -6.287210E-04,  9.6875E-01
11800, -1.944239E+01, -3.357916E-02,  8.1250E-01
11900, -2.092029E+01, -1.596014E-02,  8.7500E-01
12000, -9.582277E+00, -7.011740E-03,  8.4375E-01
12100, -7.576590E+00, -2.487642E-04,  8.9062E-01
12200, -2.560579E+00, -4.220412E-03,  9.2188E-01
12300, -1.113516E+01, -2.205261E-02,  8.5938E-01
12400, -1.962104E+01, -1.285118E-02,  8.5938E-01
12500, -1.248330E+01, -3.498027E-02,  8.1250E-01
12600, -2.154520E+01, -1.329364E-02,  8.7500E-01
12700, -1.778054E+01, -4.058881E-04,  9.0625E-01
12800, -1.024562E+01, -2.120608E-02,  8.9062E-01
12900, -2.090359E+01,  5.849893E-03,  9.0625E-01
13000, -1.513975E+01,  2.350304E-04,  9.0625E-01
13100, -3.774521E+00, -1.376403E-02,  9.0625E-01
13200, -2.738984E+01, -1.339406E-03,  9.3750E-01
13300, -1.996363E+01,  2.720875E-03,  9.3750E-01
13400, -6.769906E+00,  7.971207E-03,  8.1250E-01
13500, -1.873896E+01, -9.339536E-03,  8.5938E-01
13600, -3.526280E+00,  1.250420E-03,  9.2188E-01
13700, -1.742762E+01, -8.571213E-03,  9.3750E-01
13800, -1.758596E+01, -1.932994E-02,  9.0625E-01
13900, -2.040982E+01, -7.661407E-03,  8.5938E-01
14000, -1.448090E+01, -1.673969E-02,  8.4375E-01
14100, -3.770553E+01,  1.866193E-03,  9.0625E-01
14200, -2.441991E+01, -7.998751E-03,  9.5312E-01
14300, -3.113223E+01, -1.178969E-03,  9.2188E-01
14400, -5.987749E+00, -2.995942E-02,  9.0625E-01
14500, -1.195366E+01, -2.384750E-03,  8.9062E-01
14600, -6.197497E+00,  4.019868E-03,  9.3750E-01
14700, -2.178296E+01, -2.568574E-02,  8.5938E-01
14800, -2.116902E+01, -1.158634E-02,  8.9062E-01
14900, -5.365163E+01, -4.094700E-03,  8.7500E-01
15000, -1.576421E+01, -8.907346E-04,  8.9062E-01
15100, -1.319556E+01, -1.172469E-02,  9.0625E-01
15200, -1.541167E+01, -1.275107E-02,  8.5938E-01
15300, -2.762857E+01, -2.201523E-02,  8.9062E-01
15400, -3.103762E+01, -6.161174E-04,  9.0625E-01
15500, -1.414870E+01, -1.482684E-02,  8.7500E-01
15600, -1.733579E+00,  5.021011E-03,  9.5312E-01
15700, -2.198914E+01, -3.491312E-02,  8.5938E-01
15800, -1.229091E+01, -9.458069E-03,  8.9062E-01
15900, -5.239389E+01, -1.303142E-02,  9.2188E-01
16000, -2.808909E+01, -3.014358E-03,  9.5312E-01
16100, -1.152080E+01, -5.100084E-03,  8.4375E-01
16200, -6.061546E+00, -2.509786E-02,  8.2812E-01
16300, -3.382565E+00, -3.769830E-03,  9.5312E-01
16400, -4.302121E+01, -1.550115E-02,  8.5938E-01
16500, -4.950023E+00,  4.067648E-03,  8.5938E-01
16600,  3.834895E+00, -1.572057E-02,  8.5938E-01
16700,  1.013692E+00, -1.048793E-02,  9.0625E-01
16800, -1.461409E+00, -3.368972E-03,  9.5312E-01
16900, -1.667697E+01, -3.373132E-03,  9.0625E-01
17000, -2.954419E-01, -1.328380E-02,  9.5312E-01
17100,  1.368865E+00,  5.649868E-06,  9.2188E-01
17200,  1.049620E+01, -2.089059E-02,  9.0625E-01
17300, -8.628405E+00, -9.206494E-03,  9.2188E-01
17400, -9.170377E+00, -1.741497E-03,  8.7500E-01
17500, -8.743551E+00, -1.084796E-02,  9.2188E-01
17600, -1.920512E+01, -4.348533E-03,  8.9062E-01
17700, -2.047898E+01, -2.013982E-02,  9.3750E-01
17800,  2.211597E+00,  3.526372E-03,  9.5312E-01
17900, -7.588578E+00,  2.304440E-03,  9.3750E-01
18000, -2.612190E+01, -6.640770E-03,  8.7500E-01
18100,  1.158641E+01, -5.835804E-03,  9.2188E-01
18200, -2.579933E+00, -9.948527E-03,  8.9062E-01
18300, -1.853913E+01,  1.316475E-03,  9.8438E-01
18400,  7.524260E+00,  1.512342E-03,  9.5312E-01
18500, -3.082343E+01, -3.113458E-04,  9.2188E-01
18600, -3.350550E+00,  9.532354E-03,  9.2188E-01
18700, -8.166226E+00, -2.727011E-02,  8.4375E-01
18800, -1.584689E+01, -4.754154E-03,  9.5312E-01
18900, -2.622949E+01, -4.049743E-03,  9.6875E-01
19000,  2.787762E+00, -2.217290E-02,  8.2812E-01
19100,  7.641456E+00, -3.629037E-02,  8.5938E-01
19200,  2.368349E+00, -7.533294E-03,  8.5938E-01
19300,  2.967452E+00, -2.175964E-03,  9.3750E-01
19400,  6.334640E+00, -4.426965E-03,  9.2188E-01
19500,  9.238518E+00, -7.319817E-03,  9.2188E-01
19600, -7.067123E+00,  5.561983E-03,  9.3750E-01
19700,  1.726030E+01, -1.021080E-03,  9.3750E-01
19800,  2.483403E+00, -2.013382E-02,  8.9062E-01
19900,  2.610360E+00, -7.924128E-04,  9.3750E-01
20000, -3.248010E+00, -8.753518E-03,  9.3750E-01
20100, -1.096283E+01, -1.104123E-03,  9.2188E-01
20200,  8.179512E+00, -4.251571E-04,  9.0625E-01
20300, -6.836308E+00, -1.303135E-03,  9.3750E-01
20400, -6.497369E+00,  2.661596E-03,  9.6875E-01
20500,  3.819386E+00, -5.655253E-03,  8.9062E-01
20600, -9.566199E+00,  4.106170E-03,  9.2188E-01
20700, -7.985568E+00, -1.877641E-03,  9.6875E-01
20800,  8.521476E+00,  1.235262E-03,  8.5938E-01
20900,  6.401474E+00,  2.498236E-03,  9.6875E-01
21000, -5.172400E-01,  2.781178E-03,  9.6875E-01
21100, -2.116199E+01, -3.088722E-04,  9.5312E-01
21200,  9.130738E-01, -1.676313E-02,  8.7500E-01
21300, -2.262283E+01, -3.789898E-03,  9.5312E-01
21400,  4.884191E+00, -2.960914E-03,  8.9062E-01
21500, -4.274538E+00, -2.579221E-03,  9.5312E-01
21600, -2.721089E+01,  2.262512E-03,  9.3750E-01
21700, -1.716381E+01, -1.055404E-02,  9.3750E-01
21800, -1.542722E+01, -1.172677E-02,  8.7500E-01
21900,  5.283093E+00,  1.655109E-03,  9.6875E-01
22000, -1.227852E+01,  5.590266E-04,  9.6875E-01
22100,  4.746602E+00,  5.349740E-03,  8.2812E-01
22200, -4.208797E+01,  5.239639E-03,  9.2188E-01
22300, -1.530712E+01, -2.106181E-03,  9.3750E-01
22400, -2.013553E+01, -4.949746E-03,  9.6875E-01
22500, -7.418888E+00, -7.296522E-03,  9.3750E-01
22600, -2.526892E+01, -9.613081E-03,  9.3750E-01
22700, -2.273871E+01,  6.703969E-03,  9.2188E-01
22800, -5.187540E+01, -6.329658E-03,  9.0625E-01
22900, -1.929162E+01, -1.596306E-02,  9.0625E-01
23000,  4.387680E+00,  5.319155E-03,  9.5312E-01
23100,  3.595388E+00, -5.810825E-03,  9.2188E-01
23200, -1.444585E+01, -5.194630E-03,  9.0625E-01
23300, -2.216043E+01, -2.987717E-02,  8.7500E-01
23400,  1.902608E+00, -1.071645E-04,  9.3750E-01
23500, -1.693894E+01, -5.530101E-03,  9.2188E-01
23600, -1.306291E+01, -1.651002E-04,  8.9062E-01
23700,  5.188454E+00,  2.015599E-03,  9.3750E-01
23800,  7.269570E+00,  1.372811E-03,  9.5312E-01
23900, -1.211336E+01,  2.525302E-03,  9.0625E-01
24000,  7.473425E-01, -7.947097E-03,  8.9062E-01
24100, -1.986106E+01, -1.477537E-02,  9.0625E-01
24200, -2.802380E+01, -9.722731E-03,  9.2188E-01
24300, -4.837946E+00, -6.102459E-03,  9.0625E-01
24400, -1.824800E+01, -4.013283E-03,  9.5312E-01
24500, -2.151133E+01,  2.478509E-03,  9.0625E-01
24600, -1.446981E+01, -5.412601E-03,  8.5938E-01
24700, -1.509169E+01,  6.274052E-04,  9.3750E-01
24800, -1.666291E+01,  3.259473E-03,  9.5312E-01
24900, -2.021057E+01, -1.045380E-02,  9.3750E-01
25000, -1.343092E+01, -1.002198E-02,  9.0625E-01
25100, -6.988221E+00, -9.169620E-03,  9.0625E-01
25200, -1.052349E+01, -8.004562E-03,  9.3750E-01
25300,  4.958272E+00, -3.932717E-03,  9.3750E-01
25400, -5.399045E+00, -4.228340E-03,  9.5312E-01
25500, -5.946331E+00, -2.224270E-02,  8.4375E-01
25600, -1.416411E+01, -9.786018E-03,  9.2188E-01
25700, -2.126880E+01, -1.613622E-02,  8.7500E-01
25800,  8.154119E+00,  3.221441E-03,  9.0625E-01
25900, -1.704145E+00,  5.810207E-04,  9.5312E-01
