# step, gen_loss, dis_loss, train_acc
100,  3.782991E-01, -1.669249E-01,  7.1875E-01
200,  3.247947E-01, -7.100636E-02,  8.4375E-01
300,  5.081370E-01, -1.029522E-01,  8.1250E-01
400,  4.056949E-01, -5.802216E-02,  8.4375E-01
500,  5.549617E-01, -7.107377E-02,  8.5938E-01
600,  6.017913E-01, -6.650481E-02,  9.0625E-01
700,  6.693037E-01, -6.251740E-02,  8.1250E-01
800,  6.316016E-01, -5.022344E-02,  8.9062E-01
900,  6.331880E-01, -2.795503E-02,  9.0625E-01
1000,  8.625799E-01, -2.054739E-02,  9.0625E-01
1100,  8.000852E-01, -8.561642E-02,  8.5938E-01
1200,  8.547723E-01, -1.716982E-02,  8.9062E-01
1300,  9.498700E-01, -4.161244E-02,  8.7500E-01
1400,  7.757362E-01, -4.218340E-02,  9.2188E-01
1500,  9.215096E-01, -4.701918E-02,  8.1250E-01
1600,  8.668259E-01, -5.357941E-02,  9.0625E-01
1700,  9.237841E-01, -8.657131E-03,  9.2188E-01
1800,  8.723401E-01, -2.892433E-02,  9.2188E-01
1900,  9.926878E-01, -5.534958E-02,  8.7500E-01
2000,  9.511083E-01, -2.530273E-02,  8.9062E-01
2100,  9.291007E-01, -2.330033E-02,  9.2188E-01
2200,  1.045759E+00, -8.118758E-02,  8.2812E-01
2300,  1.023968E+00, -5.727606E-02,  9.2188E-01
2400,  1.140932E+00, -2.223800E-02,  9.3750E-01
2500,  8.587840E-01, -1.726134E-02,  9.3750E-01
2600,  1.041929E+00, -2.384879E-02,  9.5312E-01
2700,  1.062007E+00, -5.813868E-02,  8.5938E-01
2800,  1.020930E+00, -2.807074E-02,  9.0625E-01
2900,  1.096639E+00, -3.476083E-02,  9.3750E-01
3000,  8.924083E-01, -4.672617E-02,  8.7500E-01
3100,  1.070524E+00, -5.563986E-02,  8.7500E-01
3200,  1.142341E+00, -3.645078E-02,  8.7500E-01
3300,  1.200251E+00, -2.978976E-02,  8.9062E-01
3400,  1.170292E+00, -5.350243E-02,  7.9688E-01
3500,  9.020959E-01, -4.476168E-02,  8.9062E-01
3600,  1.041420E+00, -7.410279E-03,  9.5312E-01
3700,  1.044445E+00, -5.850416E-02,  8.2812E-01
3800,  7.078794E-01, -1.213230E-02,  9.2188E-01
3900,  9.108193E-01, -1.153923E-02,  9.0625E-01
4000,  1.129016E+00, -4.497623E-02,  9.0625E-01
4100,  9.405528E-01, -1.368187E-02,  8.2812E-01
4200,  9.977669E-01, -2.002983E-02,  9.5312E-01
4300,  1.056936E+00,  4.699395E-03,  9.3750E-01
4400,  1.151087E+00, -3.862079E-02,  9.2188E-01
4500,  9.405734E-01, -2.682349E-02,  9.0625E-01
4600,  8.367550E-01, -1.668895E-02,  8.9062E-01
4700,  9.819543E-01, -9.339307E-03,  9.5312E-01
4800,  7.139875E-01,  1.641387E-02,  9.2188E-01
4900,  9.093680E-01,  1.512010E-02,  8.9062E-01
5000,  6.109370E-01, -2.108195E-02,  8.4375E-01
5100,  1.895930E-01, -2.069065E-02,  8.9062E-01
5200,  5.696474E-02, -1.703261E-02,  8.9062E-01
5300,  5.980697E-02, -4.438876E-02,  8.5938E-01
5400,  2.279068E-01, -2.666189E-02,  9.2188E-01
