# step, gen_loss, dis_loss, train_acc
100,  1.697620E+01, -2.167313E-01,  5.3125E-01
200,  2.119236E+01, -1.492031E-01,  6.5625E-01
300,  1.686545E+01,  4.120812E-03,  7.9688E-01
400,  1.341173E+01, -4.317330E-02,  7.6562E-01
500,  1.317758E+01, -4.455331E-02,  7.5000E-01
600,  1.800970E+01, -4.619849E-02,  7.1875E-01
700,  1.460965E+01, -4.746062E-02,  7.6562E-01
800,  1.389460E+01, -3.641339E-02,  7.3438E-01
900,  1.568835E+01, -3.385081E-02,  7.3438E-01
1000,  1.186168E+01, -5.017412E-02,  7.9688E-01
1100,  2.010085E+01, -3.089770E-02,  7.9688E-01
1200,  1.303083E+01, -5.670813E-02,  8.4375E-01
1300,  1.142696E+01, -2.245730E-02,  7.1875E-01
1400,  1.866866E+01, -2.561633E-02,  7.9688E-01
1500,  1.865571E+01, -7.045456E-02,  8.1250E-01
1600,  1.631412E+01, -4.834111E-02,  7.6562E-01
1700,  1.699544E+01, -2.665597E-02,  8.2812E-01
1800,  1.508065E+01, -1.514596E-02,  8.1250E-01
1900,  1.497788E+01, -3.304571E-02,  8.4375E-01
2000,  1.648923E+01, -7.238353E-02,  7.8125E-01
2100,  1.255408E+01, -4.600016E-02,  8.1250E-01
2200,  1.308216E+01,  2.561239E-02,  8.9062E-01
2300,  1.623474E+01,  2.821775E-03,  8.5938E-01
2400,  1.622256E+01, -5.186016E-02,  7.3438E-01
2500,  1.797577E+01, -1.082928E-03,  8.9062E-01
2600,  1.701027E+01,  8.050673E-03,  8.7500E-01
2700,  1.536319E+01, -6.692572E-02,  7.9688E-01
2800,  1.372170E+01,  1.574695E-03,  7.5000E-01
2900,  1.460636E+01, -1.189420E-04,  8.5938E-01
3000,  1.907966E+01, -7.274764E-03,  8.7500E-01
3100,  1.948866E+01, -1.298191E-02,  8.9062E-01
3200,  1.711816E+01, -1.760810E-02,  8.9062E-01
3300,  1.600947E+01, -1.400331E-02,  8.7500E-01
3400,  1.656844E+01, -5.243152E-02,  7.6562E-01
3500,  1.074351E+01, -3.062024E-02,  8.7500E-01
3600,  1.378090E+01, -9.047984E-02,  7.5000E-01
3700,  9.239435E+00, -7.162029E-04,  9.2188E-01
3800,  1.111065E+01, -1.313908E-03,  9.0625E-01
3900,  1.571669E+01, -7.398644E-03,  8.7500E-01
4000,  1.458372E+01,  1.214745E-02,  8.4375E-01
4100,  1.864349E+01, -8.297766E-03,  7.9688E-01
4200,  1.544851E+01,  4.353104E-04,  9.3750E-01
4300,  1.764993E+01, -3.492461E-02,  8.9062E-01
4400,  1.540688E+01, -3.850799E-02,  8.1250E-01
4500,  1.877218E+01,  7.377366E-03,  8.5938E-01
4600,  2.167956E+01, -1.582595E-03,  9.0625E-01
4700,  2.276386E+01, -1.804495E-02,  8.7500E-01
4800,  2.191780E+01, -1.169909E-02,  8.7500E-01
4900,  2.435201E+01, -6.943711E-03,  9.2188E-01
5000,  1.676350E+01, -3.161659E-02,  8.7500E-01
5100,  2.164426E+01, -6.268673E-02,  7.9688E-01
5200,  2.391505E+01, -1.297704E-02,  8.4375E-01
5300,  2.281601E+01, -5.272986E-03,  8.7500E-01
5400,  2.646927E+01, -1.890901E-02,  9.3750E-01
5500,  2.971494E+01, -2.146588E-02,  8.2812E-01
5600,  2.874778E+01, -1.340935E-02,  8.4375E-01
5700,  3.383431E+01, -1.029585E-02,  9.2188E-01
5800,  2.637658E+01,  5.270923E-03,  8.9062E-01
5900,  2.690306E+01, -3.610465E-02,  8.9062E-01
6000,  2.339429E+01, -6.121458E-03,  8.5938E-01
6100,  1.967783E+01, -5.450487E-02,  8.2812E-01
6200,  2.469859E+01, -1.088034E-02,  8.7500E-01
6300,  2.486946E+01, -1.550847E-02,  8.5938E-01
6400,  2.424858E+01, -1.157590E-02,  9.0625E-01
6500,  2.556608E+01, -1.199796E-02,  8.5938E-01
6600,  2.697358E+01, -4.424091E-02,  8.2812E-01
6700,  1.947755E+01, -1.257951E-02,  8.2812E-01
6800,  2.774309E+01, -3.807114E-03,  8.5938E-01
6900,  1.528835E+01, -3.945402E-02,  8.2812E-01
7000,  1.315817E+01, -2.049813E-02,  8.4375E-01
7100,  2.208217E+01, -2.686387E-02,  7.8125E-01
7200,  1.548241E+01, -1.580743E-02,  8.9062E-01
7300,  1.835549E+01, -1.151935E-02,  8.7500E-01
7400,  2.439882E+01, -8.246116E-05,  8.9062E-01
7500,  2.317579E+01, -7.755551E-03,  8.5938E-01
7600,  2.075303E+01, -3.009122E-03,  9.5312E-01
7700,  1.575719E+01,  1.296968E-02,  9.0625E-01
7800,  1.735602E+01, -4.019190E-03,  9.3750E-01
7900,  1.421659E+01,  1.700516E-02,  7.8125E-01
8000,  2.102497E+01, -2.305052E-02,  8.7500E-01
8100,  1.521528E+01, -2.408723E-02,  8.9062E-01
8200,  2.713038E+01, -1.380832E-02,  8.9062E-01
8300,  1.880375E+01, -1.249355E-02,  8.4375E-01
8400,  1.554793E+01, -1.513507E-02,  8.7500E-01
8500,  2.066582E+01, -2.166855E-02,  8.7500E-01
8600,  2.954964E+01, -1.101636E-02,  9.0625E-01
8700,  2.115067E+01, -1.921625E-02,  8.7500E-01
8800,  3.926350E+01, -1.746841E-02,  8.9062E-01
8900,  3.221330E+01, -2.033117E-02,  9.0625E-01
9000,  2.392720E+01, -1.823504E-02,  8.7500E-01
9100,  2.429054E+01, -2.117341E-02,  8.5938E-01
9200,  2.873049E+01, -4.837721E-02,  8.4375E-01
9300,  2.129131E+01,  1.430569E-02,  8.7500E-01
9400,  2.217178E+01,  8.350210E-03,  8.9062E-01
9500,  2.390818E+01, -2.110556E-02,  8.4375E-01
9600,  2.422193E+01,  4.672872E-03,  9.3750E-01
9700,  3.565692E+01,  8.904058E-03,  8.7500E-01
9800,  3.368430E+01, -1.386756E-02,  9.5312E-01
9900,  3.894145E+01, -4.160502E-03,  8.4375E-01
10000,  4.518275E+01, -1.037210E-02,  9.2188E-01
10100,  4.201784E+01, -3.818040E-03,  8.9062E-01
10200,  4.536148E+01, -2.566574E-02,  8.5938E-01
10300,  4.850196E+01, -4.055222E-02,  7.9688E-01
10400,  3.555138E+01,  7.698442E-03,  8.9062E-01
10500,  4.174145E+01, -3.926845E-02,  8.5938E-01
10600,  3.667597E+01, -1.840016E-02,  8.7500E-01
10700,  3.909729E+01, -3.093082E-02,  8.5938E-01
10800,  4.799519E+01, -1.314436E-02,  9.5312E-01
10900,  3.855051E+01, -2.703632E-02,  9.0625E-01
11000,  5.144223E+01, -5.770790E-02,  7.8125E-01
11100,  4.104226E+01, -2.091341E-02,  9.0625E-01
11200,  4.483466E+01, -1.295056E-02,  8.9062E-01
11300,  4.054919E+01,  1.012922E-03,  9.0625E-01
11400,  4.433376E+01,  5.718749E-04,  8.9062E-01
11500,  4.689707E+01, -3.037276E-04,  8.5938E-01
11600,  4.831998E+01, -3.066826E-02,  8.7500E-01
11700,  4.594771E+01, -2.616192E-02,  8.4375E-01
11800,  4.202919E+01,  5.681713E-03,  8.7500E-01
11900,  5.007253E+01, -4.488004E-02,  8.2812E-01
12000,  3.800870E+01, -2.116995E-02,  9.0625E-01
12100,  4.501986E+01, -2.447558E-02,  8.7500E-01
12200,  4.560014E+01, -6.027497E-02,  7.9688E-01
12300,  3.522820E+01,  2.088432E-03,  8.9062E-01
12400,  4.423230E+01, -3.854088E-02,  8.2812E-01
12500,  4.182822E+01, -2.050026E-02,  8.9062E-01
12600,  4.337432E+01, -2.337069E-02,  8.4375E-01
12700,  4.370789E+01,  6.444052E-03,  9.5312E-01
12800,  4.443176E+01, -1.582362E-02,  8.5938E-01
12900,  5.453054E+01, -1.074838E-03,  8.5938E-01
13000,  5.024338E+01, -2.738133E-02,  8.1250E-01
13100,  5.695315E+01,  1.175683E-02,  9.0625E-01
13200,  5.671015E+01,  1.645402E-03,  9.0625E-01
13300,  4.850550E+01, -2.286364E-02,  8.4375E-01
13400,  4.547367E+01, -2.284530E-02,  8.4375E-01
13500,  3.951899E+01, -3.303149E-02,  8.7500E-01
13600,  4.562100E+01,  9.918194E-04,  9.2188E-01
13700,  3.925232E+01, -1.340431E-02,  8.9062E-01
13800,  5.846075E+01, -1.305353E-02,  8.9062E-01
13900,  3.866528E+01, -2.088311E-02,  8.9062E-01
14000,  4.155067E+01, -1.416187E-02,  9.2188E-01
14100,  3.831160E+01,  9.242157E-04,  9.0625E-01
14200,  4.571130E+01, -1.735841E-02,  9.2188E-01
14300,  4.120519E+01, -5.083010E-02,  8.2812E-01
14400,  4.702819E+01, -3.331365E-03,  9.3750E-01
14500,  5.534849E+01, -3.611223E-02,  7.9688E-01
14600,  4.073553E+01, -6.965428E-03,  8.4375E-01
14700,  5.524816E+01, -1.782028E-02,  8.7500E-01
14800,  5.759352E+01, -4.239880E-02,  8.5938E-01
14900,  5.004427E+01, -3.548351E-02,  8.4375E-01
15000,  4.944777E+01, -1.596891E-03,  9.5312E-01
15100,  3.830334E+01, -2.352999E-02,  9.3750E-01
15200,  2.224183E+01, -1.732772E-02,  9.0625E-01
15300,  3.691979E+01, -1.548190E-02,  9.0625E-01
15400,  4.065165E+01, -9.445639E-03,  8.5938E-01
15500,  5.327978E+01,  2.371558E-02,  9.0625E-01
15600,  2.887479E+01, -1.841549E-02,  9.3750E-01
15700,  3.639556E+01, -3.269727E-03,  8.5938E-01
15800,  4.254596E+01, -3.745884E-02,  8.9062E-01
15900,  1.998487E+01, -1.523371E-02,  9.0625E-01
16000,  3.805576E+01, -1.523316E-02,  8.7500E-01
16100,  3.700426E+01, -2.323130E-02,  8.7500E-01
16200,  2.406386E+01, -2.559493E-02,  9.0625E-01
16300,  3.605489E+01, -1.355807E-02,  9.0625E-01
16400,  4.570614E+01, -9.292364E-05,  8.9062E-01
16500,  4.600345E+01, -2.493319E-02,  8.5938E-01
16600,  5.038405E+01, -1.111163E-03,  9.5312E-01
16700,  4.027876E+01,  7.030776E-03,  9.2188E-01
16800,  4.658910E+01, -1.473807E-02,  8.9062E-01
16900,  6.045907E+01,  2.445063E-03,  9.0625E-01
17000,  5.402308E+01, -2.923246E-02,  8.2812E-01
17100,  6.478795E+01,  2.033750E-02,  7.9688E-01
17200,  4.376973E+01, -6.451555E-03,  8.4375E-01
17300,  5.604590E+01, -5.370146E-04,  9.6875E-01
17400,  3.981755E+01,  6.130429E-03,  8.5938E-01
17500,  5.122087E+01,  1.433056E-02,  9.0625E-01
17600,  3.175546E+01, -3.580921E-03,  8.9062E-01
17700,  5.725676E+01, -2.806495E-03,  9.5312E-01
17800,  4.606488E+01,  6.257082E-03,  8.4375E-01
17900,  4.164879E+01, -9.414252E-03,  9.5312E-01
18000,  6.546703E+01,  4.212383E-03,  9.2188E-01
18100,  5.054829E+01, -8.057605E-03,  9.0625E-01
18200,  5.632311E+01, -3.596217E-02,  8.4375E-01
18300,  4.650236E+01, -2.580762E-03,  9.2188E-01
18400,  4.595174E+01,  6.333602E-03,  9.8438E-01
18500,  5.628084E+01, -2.802621E-03,  9.3750E-01
18600,  6.023458E+01,  5.680117E-03,  8.2812E-01
18700,  4.963430E+01, -1.352770E-02,  8.7500E-01
18800,  4.232961E+01, -5.556040E-03,  8.9062E-01
18900,  5.156378E+01, -9.500353E-03,  9.2188E-01
19000,  5.916829E+01, -1.950828E-02,  9.2188E-01
19100,  6.707794E+01,  8.582603E-03,  8.2812E-01
19200,  5.692898E+01, -3.096346E-02,  8.9062E-01
19300,  5.301788E+01, -7.466819E-03,  8.9062E-01
19400,  5.084815E+01, -1.898841E-02,  9.2188E-01
