# step, gen_loss, dis_loss, train_acc
100, -2.014937E+01, -4.987002E-01,  5.0000E-01
200,  8.596153E+00, -1.287189E-01,  4.6875E-01
300, -2.037231E+00, -2.323159E-01,  6.2500E-01
400, -6.303159E+00, -1.666293E-01,  6.0938E-01
500, -1.073186E+00, -1.877906E-01,  5.6250E-01
600, -3.815330E+00, -1.111263E-01,  7.5000E-01
700,  5.254949E+00, -1.941703E-01,  7.0312E-01
800,  2.702051E+00, -1.036867E-01,  7.6562E-01
900,  2.438636E+00, -2.572528E-01,  6.8750E-01
1000, -1.299409E+00, -1.139646E-01,  7.8125E-01
1100, -1.175591E+00, -1.200285E-01,  8.2812E-01
1200, -9.550849E-01, -1.368244E-01,  8.1250E-01
1300,  2.751157E+00, -9.146573E-02,  7.9688E-01
1400, -8.334153E-01, -1.361735E-01,  7.6562E-01
1500, -8.664668E-01, -7.003633E-02,  8.1250E-01
1600, -7.175013E-01, -9.814222E-02,  8.5938E-01
1700, -1.129766E+00, -1.044901E-01,  7.5000E-01
1800, -1.352301E+00, -9.346087E-02,  8.4375E-01
1900, -1.563084E+00, -4.395530E-02,  9.0625E-01
2000, -1.305999E+00, -1.206965E-01,  8.1250E-01
2100, -1.571706E+00, -8.814852E-02,  7.9688E-01
2200, -9.533656E-01, -1.328264E-01,  7.5000E-01
2300, -2.103070E+00, -8.901989E-02,  7.8125E-01
2400, -1.194439E+00, -6.291435E-02,  7.9688E-01
2500, -1.265306E-01, -1.278487E-01,  7.1875E-01
2600, -1.422710E+00, -4.286218E-02,  8.5938E-01
2700, -6.679371E-01, -5.899204E-02,  8.4375E-01
2800, -2.018097E-01, -1.110428E-01,  7.9688E-01
2900, -7.814161E-02, -6.953646E-02,  8.7500E-01
3000, -1.177139E+00, -8.641744E-02,  7.9688E-01
3100, -5.900626E-01, -9.257321E-02,  8.1250E-01
3200, -4.354855E-01, -1.019331E-01,  7.8125E-01
3300,  3.261737E-01, -6.120247E-02,  7.8125E-01
3400,  3.537165E-01, -1.102270E-01,  8.2812E-01
3500, -5.921338E-01, -7.979562E-02,  7.6562E-01
3600, -4.824020E-01, -8.289840E-02,  7.9688E-01
3700, -8.020486E-01, -9.428558E-02,  7.6562E-01
3800, -1.919414E-01, -4.374978E-02,  8.9062E-01
3900,  4.712000E-02, -7.077455E-02,  8.7500E-01
4000, -4.263710E-01, -8.467854E-02,  8.2812E-01
4100, -3.015888E-01, -8.801458E-02,  8.7500E-01
4200, -8.039209E-02, -8.088507E-02,  7.8125E-01
4300, -4.292092E-01, -6.452881E-02,  8.9062E-01
4400,  1.005968E-02, -1.149699E-01,  7.8125E-01
4500,  2.324526E-01, -8.388293E-02,  8.1250E-01
4600, -2.681536E-01, -9.415492E-02,  7.9688E-01
4700, -4.153326E-02, -1.122987E-01,  7.9688E-01
