# step, gen_loss, dis_loss, train_acc
100,  2.978563E-01, -3.911161E-01,  3.1250E-01
200, -5.683850E+00, -1.759394E-01,  5.7812E-01
300,  1.056025E+01, -1.078765E-01,  6.4062E-01
400, -7.313573E+00, -1.649201E-01,  6.5625E-01
500,  1.470337E+01, -6.178387E-03,  6.7188E-01
600, -3.178949E+00, -2.065979E-03,  8.4375E-01
700,  8.343596E+00, -2.003105E-02,  7.5000E-01
800, -7.499984E+00, -4.632762E-02,  6.4062E-01
900,  1.465926E+00, -4.256701E-02,  7.3438E-01
1000, -4.269171E-02, -5.320311E-02,  6.7188E-01
1100,  6.587259E-01, -2.081950E-02,  7.9688E-01
1200, -3.493186E+00, -2.052568E-02,  8.9062E-01
1300, -1.815557E+01, -4.051563E-02,  7.3438E-01
1400, -4.941108E+00, -3.092613E-02,  7.9688E-01
1500,  3.903173E+00, -4.400166E-02,  7.9688E-01
1600,  1.563133E+01, -5.987694E-02,  7.0312E-01
1700, -1.556680E+00, -8.347476E-03,  9.5312E-01
1800, -1.328378E+01, -1.038201E-02,  8.7500E-01
1900,  5.161860E+00, -5.537608E-02,  7.5000E-01
2000, -1.075790E+01, -3.239673E-02,  7.8125E-01
2100, -9.994866E+00, -4.329979E-02,  7.9688E-01
2200, -8.162464E+00, -3.923482E-02,  7.9688E-01
2300, -3.143231E+00, -3.685697E-02,  8.1250E-01
2400, -1.285082E+01, -2.003950E-02,  8.7500E-01
2500, -1.563420E+01, -1.192112E-02,  8.7500E-01
2600, -1.498475E+01, -1.939977E-02,  8.5938E-01
2700, -1.744398E-01, -3.662207E-03,  9.3750E-01
2800,  5.815336E+00,  3.721574E-03,  9.0625E-01
2900, -1.762424E+01, -4.619093E-02,  8.1250E-01
3000, -3.819753E+00, -6.659862E-03,  8.7500E-01
3100, -1.432142E+01, -1.448197E-02,  8.5938E-01
3200,  1.367805E+01, -2.610070E-02,  8.4375E-01
3300,  1.383583E+01, -1.627773E-03,  9.0625E-01
3400, -1.392354E+01, -4.214227E-02,  8.1250E-01
3500,  6.049169E+00, -1.031682E-02,  8.4375E-01
3600,  1.519656E+01, -2.263477E-02,  8.2812E-01
3700,  3.904123E-01, -1.802056E-02,  8.7500E-01
3800, -3.975327E+00, -2.020261E-02,  8.9062E-01
3900,  3.071754E+00,  1.050305E-02,  8.4375E-01
4000,  1.586409E+01, -4.369372E-02,  8.2812E-01
4100, -1.665447E+00, -1.911999E-02,  8.1250E-01
4200, -1.140997E+00, -2.605786E-02,  8.5938E-01
4300,  6.446866E-01, -7.985474E-03,  8.9062E-01
4400, -6.833496E+00,  3.313977E-03,  7.9688E-01
4500, -1.448710E+00, -2.198080E-02,  8.2812E-01
4600,  1.666839E+00, -1.677495E-02,  8.9062E-01
4700, -1.452470E+01, -2.567419E-02,  8.7500E-01
4800, -1.379579E+00, -3.892409E-02,  8.1250E-01
4900, -1.573329E+01, -1.135707E-02,  9.3750E-01
5000,  4.410231E-01, -1.258878E-03,  8.5938E-01
5100,  6.998515E-01,  4.497040E-03,  8.1250E-01
5200,  2.658671E-01, -2.408715E-02,  9.0625E-01
5300,  1.916459E+01, -1.073752E-02,  8.7500E-01
5400,  5.253743E+00, -1.060516E-02,  8.9062E-01
5500, -3.902459E+00, -3.140782E-03,  8.9062E-01
5600,  5.272019E+00,  3.679184E-03,  9.0625E-01
5700, -7.866369E-01, -9.240437E-03,  9.2188E-01
5800,  1.358165E+01, -1.088202E-03,  8.7500E-01
